Scienjoy Holding Price to Free Cash Flow Ratio Historical Data,Scienjoy Holding Price to Free Cash Flow Ratio Historical Data,Scienjoy Holding Price to Free Cash Flow Ratio Historical Data,Scienjoy Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,3138.33
2024-06-30,0.95,$0.00,0.0
2024-03-31,1.05,$0.05,21.34
2023-06-30,2.74,$0.05,55.68
2023-03-31,4.09,$0.05,83.13
2022-06-30,3.27,$0.05,66.46
2022-03-31,4.49,$0.10,43.85
2021-03-31,9.0,0,0.0
2020-12-31,8.66,$-0.08,0.0
2020-09-30,5.7,$-0.14,0.0
2020-03-31,10.23,$-0.34,0.0
2019-12-31,10.14,$-0.31,0.0
