GSI Technology Price to Free Cash Flow Ratio Historical Data,GSI Technology Price to Free Cash Flow Ratio Historical Data,GSI Technology Price to Free Cash Flow Ratio Historical Data,GSI Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.51,,0.0
2024-12-31,3.03,$-0.29,0.0
2024-09-30,3.05,$-0.30,0.0
2024-06-30,2.65,$-0.27,0.0
2024-03-31,3.4,$-0.72,0.0
2023-12-31,2.64,$-0.62,0.0
2023-09-30,2.71,$-0.62,0.0
2023-06-30,5.53,$-0.66,0.0
2023-03-31,1.72,$-0.70,0.0
2022-12-31,1.73,$-0.68,0.0
2022-09-30,2.85,$-0.63,0.0
2022-06-30,3.45,$-0.62,0.0
2022-03-31,3.83,$-0.60,0.0
2021-12-31,4.63,$-0.60,0.0
2021-09-30,5.28,$-0.62,0.0
2021-06-30,5.62,$-0.69,0.0
2021-03-31,6.69,$-0.65,0.0
2020-12-31,7.4,$-0.64,0.0
2020-09-30,5.64,$-0.52,0.0
2020-06-30,7.18,$-0.32,0.0
2020-03-31,6.96,$-0.22,0.0
2019-12-31,7.09,$0.03,278.04
2019-09-30,8.76,$0.09,97.01
2019-06-30,8.57,$0.13,63.86
2019-03-31,7.77,$0.04,198.21
2018-12-31,5.14,$-0.01,0.0
2018-09-30,6.9,$-0.09,0.0
2018-06-30,7.52,$-0.10,0.0
2018-03-31,7.41,$-0.01,0.0
2017-12-31,7.96,$-0.01,0.0
2017-09-30,7.27,$0.05,152.09
2017-06-30,7.86,$0.17,46.02
2017-03-31,8.7,$0.09,97.97
2016-12-31,6.2,$0.21,29.38
2016-09-30,4.73,$-0.01,0.0
2016-06-30,4.17,$-0.07,0.0
2016-03-31,4.1,$-0.03,0.0
2015-12-31,3.72,$-0.22,0.0
2015-09-30,4.06,$0.09,44.42
2015-06-30,5.21,$-0.01,0.0
2015-03-31,5.9,$0.03,230.47
2014-12-31,4.99,$0.11,47.03
2014-09-30,5.41,$0.04,141.99
2014-06-30,5.96,$0.14,42.57
2014-03-31,6.91,$0.28,24.73
2013-12-31,6.64,$0.43,15.56
2013-09-30,7.03,$0.52,13.42
2013-06-30,6.32,$0.60,10.52
2013-03-31,6.59,$0.51,12.92
2012-12-31,6.27,$0.48,13.18
2012-09-30,4.95,$0.52,9.6
2012-06-30,4.74,$0.31,15.19
2012-03-31,4.24,$0.52,8.19
2011-12-31,4.68,$0.44,10.65
2011-09-30,4.92,$0.31,16.0
2011-06-30,7.2,$0.47,15.16
2011-03-31,9.09,$0.30,29.82
2010-12-31,8.1,$0.46,17.7
2010-09-30,5.74,$0.27,21.4
2010-06-30,5.72,$0.27,21.18
2010-03-31,4.66,$0.28,16.8
2009-12-31,4.48,$0.59,7.56
