Tuya Price to Free Cash Flow Ratio Historical Data,Tuya Price to Free Cash Flow Ratio Historical Data,Tuya Price to Free Cash Flow Ratio Historical Data,Tuya Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.57,,24.9
2024-09-30,1.65,$0.14,11.51
2024-06-30,1.71,$0.13,13.41
2024-03-31,1.75,$0.12,14.14
2023-12-31,2.3,$0.06,36.05
2023-09-30,1.55,$0.01,0.0
2023-06-30,1.89,$-0.04,0.0
2023-03-31,1.89,$-0.06,0.0
2022-12-31,1.91,$-0.13,0.0
2022-09-30,0.93,$-0.27,0.0
2022-06-30,2.62,$-0.32,0.0
2022-03-31,2.96,$-0.25,0.0
2021-12-31,6.25,$-0.27,0.0
