Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,327.46,,25.83
2024-12-31,354.87,$12.68,27.99
2024-09-30,328.5,$12.60,26.07
2024-06-30,270.65,$11.89,22.76
2024-03-31,255.43,$11.86,21.54
2023-12-31,222.17,$10.71,20.75
2023-09-30,194.9,$10.82,18.01
2023-06-30,182.79,$9.57,19.09
2023-03-31,175.23,$7.60,23.07
2022-12-31,165.83,$6.89,24.06
2022-09-30,138.05,$4.98,27.71
2022-06-30,130.83,$5.06,25.85
2022-03-31,148.53,$6.11,24.3
2021-12-31,137.01,$8.64,15.87
2021-09-30,124.5,$9.08,13.71
2021-06-30,117.01,$7.87,14.87
2021-03-31,116.68,$9.22,12.66
2020-12-31,114.31,$5.16,22.16
2020-09-30,91.5,$5.03,18.18
2020-06-30,87.43,$6.27,13.95
2020-03-31,90.33,$5.20,17.35
2019-12-31,137.45,$8.53,16.12
2019-09-30,125.89,$7.69,16.38
2019-06-30,123.71,$6.71,18.45
2019-03-31,110.13,$6.80,16.21
2018-12-31,99.1,$6.59,15.04
2018-09-30,133.21,$6.44,20.69
2018-06-30,115.37,$7.06,16.34
2018-03-31,130.77,$6.67,19.62
2017-12-31,117.83,$7.66,15.39
2017-09-30,100.83,$5.95,16.96
2017-06-30,88.52,$6.16,14.37
2017-03-31,87.9,$6.29,13.97
2016-12-31,94.6,$8.44,11.21
2016-09-30,87.39,$8.66,10.09
2016-06-30,80.81,$8.45,9.56
2016-03-31,72.47,$7.76,9.34
2015-12-31,65.49,$2.71,24.13
2015-09-30,59.57,$2.82,21.13
2015-06-30,68.99,$1.80,38.3
2015-03-31,70.3,$2.39,29.45
2014-12-31,66.99,$5.40,12.39
2014-09-30,62.32,$3.88,16.04
2014-06-30,61.98,$3.85,16.09
2014-03-31,59.95,$3.15,19.04
2013-12-31,58.59,$3.48,16.82
2013-09-30,44.03,$3.17,13.9
2013-06-30,34.75,$2.61,13.32
2013-03-31,32.45,$1.72,18.91
2012-12-31,30.62,$1.52,20.14
2012-09-30,30.33,$2.65,11.42
2012-06-30,28.8,$2.56,11.25
2012-03-31,34.22,$3.35,10.22
2011-12-31,32.6,$2.55,12.77
2011-09-30,26.46,$2.46,10.75
2011-06-30,29.71,$2.53,11.73
2011-03-31,32.17,$1.98,16.21
2010-12-31,30.32,$2.58,11.76
2010-09-30,27.53,$2.22,12.4
2010-06-30,26.39,$2.32,11.39
2010-03-31,31.54,$3.10,10.18
2009-12-31,28.32,$2.73,10.37
