Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.08,,13.9
2024-12-31,46.22,$2.81,16.44
2024-09-30,52.75,$2.88,18.34
2024-06-30,54.5,$3.14,17.34
2024-03-31,64.0,$4.51,14.2
2023-12-31,56.94,$5.36,10.63
2023-09-30,56.9,$5.19,10.96
2023-06-30,58.91,$4.40,13.4
2023-03-31,47.5,$3.03,15.7
2022-12-31,41.84,$2.18,19.23
2022-09-30,29.04,$-0.43,0.0
2022-06-30,26.63,$-0.54,0.0
2022-03-31,34.57,$0.45,77.53
2021-12-31,42.45,$3.32,12.78
2021-09-30,40.57,$5.88,6.9
2021-06-30,45.79,$6.17,7.42
2021-03-31,44.19,$5.77,7.66
2020-12-31,33.38,$2.30,14.54
2020-09-30,18.52,$1.44,12.82
2020-06-30,17.96,$1.70,10.56
2020-03-31,13.74,$3.19,4.3
2019-12-31,28.32,$0.96,29.55
2019-09-30,24.6,$1.05,23.43
2019-06-30,29.62,$-1.06,0.0
2019-03-31,30.18,$-2.97,0.0
2018-12-31,25.82,$-0.09,0.0
2018-09-30,37.25,$-7.72,0.0
2018-06-30,39.28,$-3.33,0.0
2018-03-31,34.75,$-0.73,0.0
2017-12-31,44.68,$1.37,32.69
2017-09-30,41.64,$10.52,3.96
2017-06-30,34.61,$8.41,4.11
2017-03-31,28.91,$5.87,4.92
2016-12-31,28.96,$3.44,8.42
2016-09-30,23.27,$3.26,7.14
2016-06-30,18.55,$1.92,9.64
2016-03-31,22.64,$1.15,19.66
2015-12-31,16.76,$1.16,14.46
2015-09-30,16.23,$1.63,9.93
2015-06-30,20.97,$2.21,9.51
2015-03-31,23.93,$1.98,12.09
2014-12-31,25.03,$3.32,7.54
2014-09-30,28.47,$0.53,53.57
2014-06-30,36.78,$0.07,516.6
2014-03-31,39.6,$1.04,38.16
2013-12-31,37.49,$1.30,28.9
2013-09-30,29.96,$2.41,12.44
2013-06-30,23.45,$3.30,7.11
2013-03-31,30.69,$3.29,9.32
2012-12-31,25.06,$2.15,11.68
2012-09-30,20.13,$-2.82,0.0
2012-06-30,15.9,$-0.92,0.0
2012-03-31,20.06,$-2.00,0.0
2011-12-31,12.05,$-0.51,0.0
2011-09-30,9.15,$1.87,4.89
2011-06-30,25.37,$-3.31,0.0
2011-03-31,33.03,$-4.56,0.0
2010-12-31,27.68,$-6.03,0.0
2010-09-30,20.44,$-5.10,0.0
2010-06-30,16.71,$-2.43,0.0
2010-03-31,20.25,$-0.43,0.0
2009-12-31,17.66,$-0.83,0.0
