Matrix Service Price to Free Cash Flow Ratio Historical Data,Matrix Service Price to Free Cash Flow Ratio Historical Data,Matrix Service Price to Free Cash Flow Ratio Historical Data,Matrix Service Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.09,,3.23
2024-12-31,11.97,$4.06,2.95
2024-09-30,11.53,$3.96,2.91
2024-06-30,9.93,$2.62,3.8
2024-03-31,13.03,$1.35,9.66
2023-12-31,9.78,$1.14,8.59
2023-09-30,11.8,$0.67,17.63
2023-06-30,5.89,$0.29,20.63
2023-03-31,5.4,$0.01,380.28
2022-12-31,6.22,$-1.86,0.0
2022-09-30,4.14,$-1.34,0.0
2022-06-30,5.06,$-0.69,0.0
2022-03-31,8.22,$-0.46,0.0
2021-12-31,7.52,$0.04,167.86
2021-09-30,10.46,$-0.29,0.0
2021-06-30,10.5,$-0.20,0.0
2021-03-31,13.11,$-0.13,0.0
2020-12-31,11.02,$0.27,41.04
2020-09-30,8.35,$-1.35,0.0
2020-06-30,9.72,$1.01,9.59
2020-03-31,9.47,$1.90,4.99
2019-12-31,22.88,$1.44,15.85
2019-09-30,17.14,$2.32,7.38
2019-06-30,20.26,$0.84,24.24
2019-03-31,19.58,$0.49,40.21
2018-12-31,17.94,$1.85,9.71
2018-09-30,24.65,$2.55,9.67
2018-06-30,18.35,$2.50,7.33
2018-03-31,13.7,$1.65,8.32
2017-12-31,17.8,$1.15,15.43
2017-09-30,15.2,$1.00,15.18
2017-06-30,9.35,$-1.11,0.0
2017-03-31,16.5,$-0.98,0.0
2016-12-31,22.7,$-0.65,0.0
2016-09-30,18.76,$-0.50,0.0
2016-06-30,16.49,$0.74,22.27
2016-03-31,17.7,$-0.10,0.0
2015-12-31,20.54,$0.57,35.85
2015-09-30,22.47,$-0.32,0.0
2015-06-30,18.28,$0.41,44.29
2015-03-31,17.56,$2.90,6.06
2014-12-31,22.32,$0.48,46.44
2014-09-30,24.12,$1.57,15.34
2014-06-30,32.79,$2.00,16.4
2014-03-31,33.78,$0.60,56.39
2013-12-31,24.43,$2.73,8.95
2013-09-30,19.62,$2.77,7.07
2013-06-30,15.58,$1.29,12.06
2013-03-31,14.9,$0.75,19.78
2012-12-31,11.5,$0.10,114.77
2012-09-30,10.58,$-0.82,0.0
2012-06-30,11.33,$-0.38,0.0
2012-03-31,14.01,$-0.35,0.0
2011-12-31,9.44,$0.26,36.72
2011-09-30,8.51,$0.19,44.49
2011-06-30,13.38,$0.47,28.6
2011-03-31,13.9,$0.41,34.24
2010-12-31,12.18,$-0.64,0.0
2010-09-30,8.76,$-0.44,0.0
2010-06-30,9.31,$-0.03,0.0
2010-03-31,10.76,$-0.65,0.0
2009-12-31,10.65,$-0.35,0.0
2009-09-30,10.87,$0.13,82.54
