Xenetic Biosciences Price to Free Cash Flow Ratio Historical Data,Xenetic Biosciences Price to Free Cash Flow Ratio Historical Data,Xenetic Biosciences Price to Free Cash Flow Ratio Historical Data,Xenetic Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.4,,0.0
2024-09-30,4.32,$-1.92,0.0
2024-06-30,4.07,$-2.23,0.0
2024-03-31,3.77,$-2.72,0.0
2023-12-31,3.45,$-2.69,0.0
2023-09-30,4.9,$-2.71,0.0
2023-06-30,3.28,$-2.82,0.0
2023-03-31,4.06,$-2.44,0.0
2022-12-31,2.85,$-3.27,0.0
2022-09-30,5.37,$-4.10,0.0
2022-06-30,8.01,$-4.04,0.0
2022-03-31,10.2,$-4.43,0.0
2021-12-31,12.9,$-4.61,0.0
2021-09-30,20.5,$-4.64,0.0
2021-06-30,20.4,$-5.58,0.0
2021-03-31,21.8,$-6.81,0.0
2020-12-31,20.4,$-6.68,0.0
2020-09-30,9.05,$-15.47,0.0
2020-06-30,10.2,$0.03,398.44
2020-03-31,7.41,$-8.51,0.0
2019-12-31,14.4,$-22.43,0.0
2019-09-30,11.97,$-28.53,0.0
2019-06-30,112.5,$-59.80,0.0
2019-03-31,232.8,$-77.77,0.0
2018-12-31,196.8,$-85.20,0.0
2018-09-30,339.6,$-2.15,0.0
2018-06-30,489.6,$-7.28,0.0
2018-03-31,258.0,$-6.26,0.0
2017-12-31,230.22,$20.57,11.19
2017-09-30,242.4,$-188.41,0.0
