Hennessy Advisors Price to Free Cash Flow Ratio Historical Data,Hennessy Advisors Price to Free Cash Flow Ratio Historical Data,Hennessy Advisors Price to Free Cash Flow Ratio Historical Data,Hennessy Advisors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.36,,7.5
2024-12-31,12.75,$1.38,9.23
2024-09-30,9.82,$1.16,8.46
2024-06-30,6.93,$1.05,6.61
2024-03-31,6.59,$0.95,6.94
2023-12-31,6.28,$0.97,6.47
2023-09-30,6.1,$0.91,6.71
2023-06-30,6.34,$0.90,7.03
2023-03-31,6.83,$0.90,7.56
2022-12-31,7.29,$0.96,7.6
2022-09-30,7.41,$1.12,6.63
2022-06-30,8.8,$1.23,7.17
2022-03-31,8.42,$1.35,6.23
2021-12-31,8.75,$1.38,6.34
2021-09-30,7.8,$1.37,5.7
2021-06-30,7.47,$1.28,5.86
2021-03-31,6.78,$1.18,5.73
2020-12-31,6.6,$1.38,4.77
2020-09-30,6.34,$1.42,4.47
2020-06-30,5.94,$1.61,3.69
2020-03-31,5.62,$1.85,3.03
2019-12-31,7.37,$1.77,4.17
2019-09-30,7.81,$1.83,4.28
2019-06-30,6.91,$2.17,3.19
2019-03-31,6.51,$2.35,2.78
2018-12-31,6.98,$2.61,2.67
2018-09-30,9.57,$2.68,3.57
2018-06-30,11.91,$2.55,4.67
2018-03-31,13.18,$2.51,5.26
2017-12-31,11.23,$2.52,4.45
2017-09-30,10.43,$2.52,4.13
2017-06-30,10.21,$0.10,100.66
2017-03-31,11.25,$0.05,229.16
2016-12-31,14.11,$-0.05,0.0
2016-09-30,15.71,$-0.00,0.0
2016-06-30,14.79,$2.12,6.97
2016-03-31,11.77,$2.11,5.59
2015-12-31,13.17,$1.74,7.55
2015-09-30,10.43,$1.59,6.57
2015-06-30,8.25,$1.51,5.46
2015-03-31,8.83,$1.10,8.03
2014-12-31,9.55,$1.08,8.87
2014-09-30,8.63,$1.05,8.23
2014-06-30,6.44,$0.94,6.85
2014-03-31,5.07,$0.90,5.66
2013-12-31,5.07,$0.87,5.83
2013-09-30,4.05,$0.68,5.97
2013-06-30,3.15,$0.50,6.28
2013-03-31,3.29,$0.37,8.96
2012-12-31,1.86,$0.22,8.41
2012-09-30,1.19,$0.22,5.32
2012-06-30,1.22,$0.20,6.04
2012-03-31,1.13,$0.21,5.36
2011-12-31,1.11,$0.20,5.46
2011-09-30,1.2,$0.21,5.69
2011-06-30,1.23,$0.22,5.53
2011-03-31,1.25,$0.24,5.32
2010-12-31,1.18,$0.30,3.97
2010-09-30,0.89,$0.23,3.88
2010-06-30,1.04,$0.28,3.75
2010-03-31,0.95,$0.22,4.26
2009-12-31,1.08,$0.02,65.17
