"MASTERCRAFT BOAT HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","MASTERCRAFT BOAT HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.31,,0.0
2024-12-31,19.07,$-0.78,0.0
2024-09-30,18.21,$0.49,36.94
2024-06-30,18.88,$-0.23,0.0
2024-03-31,23.72,$1.57,15.13
2023-12-31,22.64,$2.95,7.68
2023-09-30,22.22,$4.45,5.0
2023-06-30,30.65,$5.85,5.24
2023-03-31,30.43,$6.65,4.58
2022-12-31,25.87,$6.60,3.92
2022-09-30,18.85,$4.82,3.91
2022-06-30,21.05,$3.27,6.43
2022-03-31,24.61,$2.15,11.45
2021-12-31,28.33,$2.08,13.64
2021-09-30,25.08,$1.16,21.7
2021-06-30,26.29,$2.29,11.5
2021-03-31,26.59,$1.91,13.89
2020-12-31,24.84,$1.00,24.8
2020-09-30,17.49,$1.09,16.1
2020-06-30,19.05,$0.85,22.33
2020-03-31,7.3,$1.22,5.96
2019-12-31,15.75,$1.51,10.42
2019-09-30,14.93,$2.28,6.54
2019-06-30,19.59,$2.23,8.79
2019-03-31,22.57,$2.11,10.68
2018-12-31,18.7,$2.40,7.8
2018-09-30,35.88,$1.84,19.49
2018-06-30,28.95,$2.36,12.26
2018-03-31,25.2,$1.94,12.97
2017-12-31,22.22,$1.68,13.26
2017-09-30,20.38,$1.46,13.99
2017-06-30,19.55,$1.19,16.47
2017-03-31,16.17,$1.45,11.15
2016-12-31,14.58,$1.57,9.27
2016-09-30,11.4,$1.58,7.2
2016-06-30,11.05,$1.48,7.49
