BrightSpire Capital Price to Free Cash Flow Ratio Historical Data,BrightSpire Capital Price to Free Cash Flow Ratio Historical Data,BrightSpire Capital Price to Free Cash Flow Ratio Historical Data,BrightSpire Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.93,,6.46
2024-12-31,5.64,$0.92,6.15
2024-09-30,5.6,$0.86,6.53
2024-06-30,5.54,$0.93,5.96
2024-03-31,6.47,$0.90,7.16
2023-12-31,6.79,$1.03,6.61
2023-09-30,5.57,$0.98,5.69
2023-06-30,5.8,$1.41,4.12
2023-03-31,4.94,$1.43,3.46
2022-12-31,5.04,$1.37,3.68
2022-09-30,4.94,$1.51,3.27
2022-06-30,5.74,$3.75,1.53
2022-03-31,6.85,$2.58,2.65
2021-12-31,7.44,$2.34,3.18
2021-09-30,6.69,$5.86,1.14
2021-06-30,6.59,$1.61,4.08
2021-03-31,5.88,$2.50,2.36
2020-12-31,5.12,$4.11,1.25
2020-09-30,3.35,$0.99,3.39
2020-06-30,4.79,$2.61,1.83
2020-03-31,2.69,$2.91,0.92
2019-12-31,8.64,$1.54,5.59
2019-09-30,9.25,$0.84,11.07
2019-06-30,9.62,$-2.37,0.0
2019-03-31,9.45,$-2.52,0.0
2018-12-31,9.29,$-2.61,0.0
