Bluebird Bio Price to Free Cash Flow Ratio Historical Data,Bluebird Bio Price to Free Cash Flow Ratio Historical Data,Bluebird Bio Price to Free Cash Flow Ratio Historical Data,Bluebird Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.96,,0.0
2024-09-30,10.39,$-31.72,0.0
2024-06-30,19.68,$-34.05,0.0
2024-03-31,25.6,$-37.62,0.0
2023-12-31,27.6,$-43.57,0.0
2023-09-30,60.8,$-41.52,0.0
2023-06-30,65.8,$-45.41,0.0
2023-03-31,63.6,$-96.43,0.0
2022-12-31,138.4,$-82.57,0.0
2022-09-30,126.6,$-105.80,0.0
2022-06-30,82.8,$-134.61,0.0
2022-03-31,97.0,$-116.36,0.0
2021-12-31,199.8,$-179.35,0.0
2021-09-30,228.05,$-197.21,0.0
2021-06-30,381.63,$-196.33,0.0
2021-03-31,359.79,$-135.41,0.0
2020-12-31,516.35,$-150.41,0.0
2020-09-30,643.8,$-163.92,0.0
2020-06-30,728.41,$-170.87,0.0
2020-03-31,548.45,$-245.13,0.0
2019-12-31,1047.15,$-230.26,0.0
2019-09-30,1095.72,$-225.61,0.0
2019-06-30,1517.92,$-208.28,0.0
2019-03-31,1877.47,$-196.89,0.0
2018-12-31,1183.78,$-180.34,0.0
2018-09-30,1742.26,$-179.91,0.0
2018-06-30,1872.93,$-167.11,0.0
2018-03-31,2037.61,$-154.44,0.0
2017-12-31,2125.32,$-157.48,0.0
2017-09-30,1639.04,$-144.04,0.0
2017-06-30,1253.59,$-151.65,0.0
2017-03-31,1084.74,$-144.37,0.0
2016-12-31,736.28,$-116.77,0.0
2016-09-30,808.84,$-95.82,0.0
2016-06-30,516.59,$-84.45,0.0
2016-03-31,507.17,$-67.33,0.0
2015-12-31,766.36,$-60.85,0.0
2015-09-30,1020.89,$-53.64,0.0
2015-06-30,2009.21,$-52.40,0.0
2015-03-31,1441.19,$-55.12,0.0
2014-12-31,1094.52,$-51.53,0.0
2014-09-30,428.17,$-18.94,0.0
2014-06-30,460.27,$-492.64,0.0
2014-03-31,271.36,$43.44,6.25
