Epsilon Energy Price to Free Cash Flow Ratio Historical Data,Epsilon Energy Price to Free Cash Flow Ratio Historical Data,Epsilon Energy Price to Free Cash Flow Ratio Historical Data,Epsilon Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.1,,0.0
2024-12-31,6.21,$-0.90,0.0
2024-09-30,5.8,$-0.85,0.0
2024-06-30,5.33,$-0.80,0.0
2024-03-31,5.31,$-1.07,0.0
2023-12-31,4.84,$-0.02,0.0
2023-09-30,4.97,$0.19,26.01
2023-06-30,4.97,$0.69,7.22
2023-03-31,4.91,$1.38,3.56
2022-12-31,6.02,$1.29,4.68
2022-09-30,5.69,$1.27,4.49
2022-06-30,5.26,$0.84,6.26
2022-03-31,5.7,$0.64,8.84
2021-12-31,4.97,$0.65,7.61
2021-09-30,5.63,$0.46,12.18
2021-06-30,4.37,$0.44,10.03
2021-03-31,3.41,$0.43,7.86
2020-12-31,3.24,$0.33,9.83
2020-09-30,2.65,$0.14,18.35
2020-06-30,2.58,$0.03,86.28
2020-03-31,2.33,$0.06,39.98
2019-12-31,2.89,$0.04,73.24
