Acrivon Therapeutics Price to Free Cash Flow Ratio Historical Data,Acrivon Therapeutics Price to Free Cash Flow Ratio Historical Data,Acrivon Therapeutics Price to Free Cash Flow Ratio Historical Data,Acrivon Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.14,,0.0
2024-09-30,7.0,$-1.93,0.0
2024-06-30,5.8,$-1.94,0.0
2024-03-31,7.15,$-2.26,0.0
2023-12-31,4.92,$-1.99,0.0
2023-09-30,9.56,$-9.21,0.0
