Cadrenal Therapeutics Price to Free Cash Flow Ratio Historical Data,Cadrenal Therapeutics Price to Free Cash Flow Ratio Historical Data,Cadrenal Therapeutics Price to Free Cash Flow Ratio Historical Data,Cadrenal Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.5,,0.0
2024-12-31,14.49,$-6.04,0.0
2024-09-30,13.65,$-6.20,0.0
2024-06-30,0.47,$-4.25,0.0
2024-03-31,0.61,$-3.68,0.0
2023-12-31,0.74,$-3.93,0.0
