IonQ Price to Free Cash Flow Ratio Historical Data,IonQ Price to Free Cash Flow Ratio Historical Data,IonQ Price to Free Cash Flow Ratio Historical Data,IonQ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.14,,0.0
2024-12-31,41.77,$-0.60,0.0
2024-09-30,8.74,$-0.57,0.0
2024-06-30,7.03,$-0.59,0.0
2024-03-31,9.99,$-0.52,0.0
2023-12-31,12.39,$-0.48,0.0
2023-09-30,14.88,$-0.39,0.0
2023-06-30,13.53,$-0.33,0.0
2023-03-31,6.15,$-0.31,0.0
2022-12-31,3.45,$-0.28,0.0
2022-09-30,5.07,$-0.23,0.0
2022-06-30,4.38,$-0.27,0.0
2022-03-31,12.76,$-0.27,0.0
2021-12-31,16.7,$-0.26,0.0
