Knightscope Price to Free Cash Flow Ratio Historical Data,Knightscope Price to Free Cash Flow Ratio Historical Data,Knightscope Price to Free Cash Flow Ratio Historical Data,Knightscope Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.45,,0.0
2024-09-30,7.36,$-12.41,0.0
2024-06-30,0.31,$-13.88,0.0
2024-03-31,0.5,$-15.04,0.0
2023-12-31,0.6,$-18.66,0.0
2023-09-30,0.79,$-20.98,0.0
2023-06-30,0.53,$-30.40,0.0
2023-03-31,0.89,$-28.86,0.0
2022-12-31,1.89,$-34.00,0.0
