Jet.AI Price to Free Cash Flow Ratio Historical Data,Jet.AI Price to Free Cash Flow Ratio Historical Data,Jet.AI Price to Free Cash Flow Ratio Historical Data,Jet.AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.49,,0.0
2024-09-30,0.11,$-109.58,0.0
2024-06-30,0.34,$-122.23,0.0
2024-03-31,0.93,$-116.46,0.0
2023-12-31,1.44,$-136.07,0.0
2023-09-30,3.23,$-114.62,0.0
2023-06-30,10.87,$-98.58,0.0
2023-03-31,10.71,$-73.69,0.0
2022-12-31,10.45,$-4.95,0.0
2022-09-30,10.08,$21.54,0.47
