Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,112.72,,14.82
2024-12-31,104.91,$7.60,13.8
2024-09-30,95.39,$7.97,11.97
2024-06-30,82.6,$7.04,11.73
2024-03-31,85.53,$6.56,13.04
2023-12-31,79.81,$5.96,13.4
2023-09-30,68.96,$4.81,14.33
2023-06-30,66.89,$5.94,11.27
2023-03-31,61.86,$6.58,9.4
2022-12-31,78.28,$7.32,10.7
2022-09-30,69.11,$9.78,7.06
2022-06-30,70.97,$7.77,9.14
2022-03-31,91.8,$5.64,16.28
2021-12-31,84.13,$7.86,10.7
2021-09-30,72.78,$5.60,12.99
2021-06-30,69.01,$9.09,7.59
2021-03-31,81.88,$9.45,8.66
2020-12-31,65.1,$6.49,10.02
2020-09-30,53.58,$7.27,7.37
2020-06-30,53.76,$5.15,10.44
2020-03-31,53.55,$5.33,10.05
2019-12-31,72.45,$5.48,13.23
2019-09-30,65.31,$4.45,14.67
2019-06-30,60.89,$4.70,12.95
2019-03-31,58.47,$5.04,11.6
2018-12-31,47.88,$4.98,9.62
2018-09-30,53.48,$5.39,9.92
2018-06-30,54.07,$4.63,11.67
2018-03-31,54.03,$3.35,16.13
2017-12-31,53.7,$4.06,13.23
2017-09-30,56.44,$4.55,12.42
2017-06-30,53.68,$4.01,13.4
2017-03-31,46.44,$4.23,10.97
2016-12-31,46.79,$3.03,15.45
