Microbot Medical Price to Free Cash Flow Ratio Historical Data,Microbot Medical Price to Free Cash Flow Ratio Historical Data,Microbot Medical Price to Free Cash Flow Ratio Historical Data,Microbot Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.66,,0.0
2024-09-30,0.89,$-0.70,0.0
2024-06-30,1.02,$-0.59,0.0
2024-03-31,1.23,$-0.61,0.0
2023-12-31,1.64,$-0.84,0.0
2023-09-30,1.39,$-0.89,0.0
2023-06-30,2.72,$-1.28,0.0
2023-03-31,2.08,$-1.58,0.0
2022-12-31,3.01,$-1.60,0.0
2022-09-30,4.78,$-1.70,0.0
2022-06-30,5.13,$-1.59,0.0
2022-03-31,6.27,$-1.47,0.0
2021-12-31,7.5,$-1.33,0.0
2021-09-30,7.03,$-1.18,0.0
2021-06-30,7.94,$-1.11,0.0
2021-03-31,8.51,$-0.98,0.0
2020-12-31,6.89,$-1.03,0.0
2020-09-30,7.64,$-1.22,0.0
2020-06-30,6.91,$-1.29,0.0
2020-03-31,5.55,$-1.17,0.0
2019-12-31,10.17,$-1.50,0.0
2019-09-30,5.3,$-1.56,0.0
2019-06-30,5.15,$-1.68,0.0
2019-03-31,7.75,$-2.09,0.0
2018-12-31,1.72,$-1.91,0.0
2018-09-30,7.52,$-2.15,0.0
2018-06-30,11.1,$-2.08,0.0
2018-03-31,10.13,$-2.30,0.0
2017-12-31,15.3,$-2.26,0.0
2017-09-30,17.55,$-1.48,0.0
2017-06-30,21.3,$-1.68,0.0
2017-03-31,87.15,$-1.13,0.0
2016-12-31,91.5,$-0.85,0.0
2016-09-30,183.6,$365.28,0.5
2016-06-30,54.32,$286.16,0.19
2016-03-31,422.17,$209.07,2.02
2015-12-31,674.73,$-0.87,0.0
2015-09-30,649.13,$-584.96,0.0
2015-06-30,875.61,$-604.50,0.0
2015-03-31,1652.4,$-755.72,0.0
2014-12-31,1521.18,$-742.86,0.0
2014-09-30,2041.2,$-540.91,0.0
2014-06-30,3288.6,$-738.12,0.0
2014-03-31,2170.8,$-739.41,0.0
2013-12-31,1992.6,$-835.73,0.0
2013-09-30,2721.6,$-883.03,0.0
2013-06-30,2673.0,$-689.59,0.0
2013-03-31,2802.6,$-763.08,0.0
2012-12-31,2640.6,$-867.16,0.0
2012-09-30,3337.2,"$-1,375.03",0.0
2012-06-30,1312.2,"$-1,703.48",0.0
2012-03-31,1798.2,"$-2,073.91",0.0
2011-12-31,1334.88,"$-2,552.54",0.0
2011-09-30,3272.4,"$-2,639.71",0.0
2011-06-30,8586.01,"$-2,885.58",0.0
2011-03-31,14742.01,"$-3,063.72",0.0
2010-12-31,17496.02,"$-3,261.54",0.0
2010-09-30,13446.01,"$-3,346.49",0.0
2010-06-30,15228.01,"$-3,537.47",0.0
2010-03-31,18792.02,"$-3,623.31",0.0
2009-12-31,20412.02,"$-3,574.65",0.0
