TCTM Kids IT Education Price to Free Cash Flow Ratio Historical Data,TCTM Kids IT Education Price to Free Cash Flow Ratio Historical Data,TCTM Kids IT Education Price to Free Cash Flow Ratio Historical Data,TCTM Kids IT Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2023-06-30,2.43,$-0.16,0.0
2023-03-31,3.29,$-0.16,0.0
2022-12-31,4.67,$-0.16,0.0
2022-09-30,6.15,$0.07,84.83
2022-06-30,5.99,$0.07,82.62
2022-03-31,2.47,$0.07,34.07
2021-12-31,1.84,$0.07,25.38
2021-09-30,6.9,$1.43,4.81
2021-06-30,13.95,0,0.0
2021-03-31,15.7,0,0.0
2020-09-30,8.8,0,0.0
2018-12-31,31.5,$-1.43,0.0
2018-09-30,40.6,$1.39,29.23
2018-06-30,37.85,$1.39,27.25
2018-03-31,55.52,$1.39,39.97
2017-12-31,74.18,$1.39,53.4
2017-09-30,72.0,$1.82,39.65
2017-06-30,88.63,$1.82,48.8
2017-03-31,91.65,$1.82,50.46
2016-12-31,73.54,$1.82,40.5
2016-09-30,71.04,$3.43,20.69
2016-06-30,50.68,$3.43,14.76
2016-03-31,52.31,$3.43,15.24
2015-12-31,50.52,$3.43,14.72
2015-09-30,45.87,$1.76,26.08
2015-06-30,61.26,$1.76,34.83
2015-03-31,47.08,$1.76,26.77
