America's Car-Mart Price to Free Cash Flow Ratio Historical Data,America's Car-Mart Price to Free Cash Flow Ratio Historical Data,America's Car-Mart Price to Free Cash Flow Ratio Historical Data,America's Car-Mart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,48.08,,0.0
2025-01-31,48.69,$-10.34,0.0
2024-10-31,39.04,$-5.08,0.0
2024-07-31,69.25,$-8.01,0.0
2024-04-30,57.24,$-12.48,0.0
2024-01-31,60.89,$-12.75,0.0
2023-10-31,66.98,$-19.52,0.0
2023-07-31,119.12,$-20.79,0.0
2023-04-30,80.39,$-24.02,0.0
2023-01-31,86.14,$-24.44,0.0
2022-10-31,68.36,$-25.26,0.0
2022-07-31,103.57,$-25.25,0.0
2022-04-30,80.85,$-19.78,0.0
2022-01-31,94.92,$-19.52,0.0
2021-10-31,119.49,$-15.18,0.0
2021-07-31,159.0,$-12.16,0.0
2021-04-30,150.83,$-8.92,0.0
2021-01-31,118.78,$-1.92,0.0
2020-10-31,86.52,$-1.22,0.0
2020-07-31,95.16,$1.22,78.16
2020-04-30,65.95,$2.26,29.22
2020-01-31,109.78,$0.31,350.85
2019-10-31,90.99,$2.10,43.3
2019-07-31,90.16,$2.57,35.12
2019-04-30,99.05,$2.97,33.33
2019-01-31,69.96,$2.25,31.14
2018-10-31,74.9,$0.82,91.54
2018-07-31,64.0,$0.80,80.42
2018-04-30,53.3,$1.11,47.84
2018-01-31,46.1,$1.07,43.25
2017-10-31,42.85,$1.88,22.84
2017-07-31,39.2,$1.69,23.16
2017-04-30,37.3,$0.82,45.3
2017-01-31,41.95,$1.11,37.89
2016-10-31,40.85,$-0.52,0.0
2016-07-31,35.08,$0.69,50.8
2016-04-30,26.57,$1.13,23.58
2016-01-31,23.46,$0.23,101.16
2015-10-31,34.24,$1.40,24.42
2015-07-31,46.26,$0.45,102.75
2015-04-30,51.34,$0.94,54.72
2015-01-31,53.11,$1.95,27.28
2014-10-31,45.98,$1.73,26.63
2014-07-31,37.44,$1.97,19.01
2014-04-30,36.14,$1.57,22.96
2014-01-31,38.55,$0.36,106.02
2013-10-31,45.74,$-0.85,0.0
2013-07-31,43.28,$-0.80,0.0
2013-04-30,46.27,$-0.72,0.0
2013-01-31,39.82,$-0.21,0.0
2012-10-31,42.01,$0.87,48.37
2012-07-31,45.88,$0.69,66.16
2012-04-30,45.94,$0.71,64.26
2012-01-31,37.94,$0.34,111.1
2011-10-31,33.38,$0.88,38.12
2011-07-31,33.84,$0.97,34.88
2011-04-30,24.48,$1.09,22.49
2011-01-31,24.94,$0.35,71.42
2010-10-31,26.67,$0.35,75.55
2010-07-31,23.28,$0.41,56.38
2010-04-30,25.33,$0.23,112.03
2010-01-31,23.53,$0.19,124.96
2009-10-31,20.73,$0.77,27.05
