Citizens Financial Services Price to Free Cash Flow Ratio Historical Data,Citizens Financial Services Price to Free Cash Flow Ratio Historical Data,Citizens Financial Services Price to Free Cash Flow Ratio Historical Data,Citizens Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.01,,7.31
2024-12-31,63.31,$8.21,7.71
2024-09-30,58.34,$9.82,5.94
2024-06-30,44.24,$10.10,4.38
2024-03-31,47.4,$7.22,6.56
2023-12-31,61.63,$5.40,11.41
2023-09-30,45.29,$3.70,12.25
2023-06-30,69.7,$4.49,15.51
2023-03-31,77.78,$10.34,7.52
