Diversified Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Diversified Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Diversified Healthcare Trust Price to Free Cash Flow Ratio Historical Data,Diversified Healthcare Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.68,,0.0
2024-12-31,2.3,$-0.23,0.0
2024-09-30,4.18,$-0.30,0.0
2024-06-30,3.03,$-0.59,0.0
2024-03-31,2.44,$-0.71,0.0
2023-12-31,3.69,$-0.86,0.0
2023-09-30,1.9,$-1.09,0.0
2023-06-30,2.2,$-1.45,0.0
2023-03-31,1.31,$-1.71,0.0
2022-12-31,0.62,$0.94,0.66
2022-09-30,0.94,$0.78,1.2
2022-06-30,1.71,$1.10,1.56
2022-03-31,3.0,$1.65,1.81
2021-12-31,2.88,$-0.79,0.0
2021-09-30,3.16,$-0.15,0.0
2021-06-30,3.88,$0.26,15.02
2021-03-31,4.43,$0.37,12.01
2020-12-31,3.81,$0.50,7.69
2020-09-30,3.24,$1.23,2.63
2020-06-30,4.07,$1.37,2.97
2020-03-31,3.33,$1.17,2.84
2019-12-31,7.35,$1.04,7.07
2019-09-30,7.94,$0.59,13.48
2019-06-30,6.97,$0.74,9.45
2019-03-31,9.74,$1.37,7.11
2018-12-31,9.41,$2.07,4.55
2018-09-30,14.1,$1.73,8.17
2018-06-30,14.21,$1.68,8.45
2018-03-31,11.99,$1.23,9.73
2017-12-31,14.35,$0.83,17.22
2017-09-30,14.35,$0.98,14.71
2017-06-30,14.71,$1.18,12.42
2017-03-31,14.32,$0.52,27.29
2016-12-31,13.11,$0.55,23.65
2016-09-30,15.46,$0.69,22.36
2016-06-30,13.93,$0.44,31.35
2016-03-31,11.7,$-1.22,0.0
2015-12-31,9.44,$-3.42,0.0
2015-09-30,9.97,$-3.72,0.0
2015-06-30,10.56,$-3.57,0.0
2015-03-31,13.11,$-6.60,0.0
2014-12-31,12.85,$-4.59,0.0
2014-09-30,11.94,$-4.02,0.0
2014-06-30,13.64,$-4.38,0.0
2014-03-31,12.4,$0.97,12.77
2013-12-31,12.05,$0.82,14.7
2013-09-30,12.45,$-1.36,0.0
2013-06-30,13.63,$-0.23,0.0
2013-03-31,13.9,$-0.94,0.0
2012-12-31,12.05,$-0.49,0.0
2012-09-30,10.91,$1.71,6.4
2012-06-30,11.0,$0.64,17.17
2012-03-31,10.67,$2.45,4.35
2011-12-31,10.68,$1.44,7.43
2011-09-30,10.07,$1.06,9.47
2011-06-30,10.77,$1.38,7.83
2011-03-31,10.43,$0.40,25.85
2010-12-31,9.77,$1.40,6.98
2010-09-30,10.31,$1.64,6.29
2010-06-30,8.67,$1.66,5.23
2010-03-31,9.4,$1.68,5.6
2009-12-31,9.13,$1.72,5.31
