Community West Bancshares Price to Free Cash Flow Ratio Historical Data,Community West Bancshares Price to Free Cash Flow Ratio Historical Data,Community West Bancshares Price to Free Cash Flow Ratio Historical Data,Community West Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.25,,19.32
2024-09-30,19.14,$0.94,20.27
2024-06-30,18.27,$1.27,14.38
2024-03-31,19.51,$1.23,15.82
2023-12-31,21.79,$1.81,12.02
2023-09-30,13.65,$2.66,5.13
2023-06-30,14.84,$2.61,5.69
2023-03-31,19.59,$2.97,6.61
2022-12-31,20.07,$2.03,9.88
2022-09-30,16.67,$2.00,8.35
2022-06-30,13.55,$1.71,7.92
2022-03-31,21.68,$2.87,7.56
2021-12-31,19.19,$3.40,5.64
2021-09-30,19.75,$3.30,5.98
2021-06-30,18.41,$3.26,5.65
2021-03-31,16.72,$1.25,13.35
2020-12-31,13.43,$1.23,10.9
2020-09-30,11.05,$0.88,12.62
2020-06-30,13.66,$0.99,13.8
2020-03-31,11.49,$1.51,7.6
2019-12-31,18.98,$1.54,12.3
2019-09-30,17.73,$1.74,10.18
2019-06-30,18.61,$1.35,13.8
2019-03-31,16.85,$2.17,7.76
2018-12-31,16.18,$2.11,7.68
2018-09-30,18.45,$1.83,10.08
2018-06-30,18.0,$2.23,8.08
2018-03-31,16.58,$1.70,9.75
2017-12-31,17.05,$1.91,8.9
2017-09-30,18.78,$1.81,10.39
2017-06-30,18.61,$1.57,11.84
2017-03-31,17.17,$1.32,13.01
2016-12-31,16.67,$1.06,15.7
2016-09-30,13.19,$1.17,11.24
2016-06-30,11.6,$1.37,8.44
2016-03-31,9.18,$1.47,6.26
2015-12-31,9.86,$1.52,6.48
2015-09-30,9.87,$1.68,5.88
2015-06-30,9.6,$1.57,6.11
2015-03-31,8.86,$1.59,5.56
2014-12-31,8.94,$1.47,6.07
2014-09-30,9.22,$1.50,6.15
2014-06-30,10.47,$1.40,7.46
2014-03-31,9.16,$1.44,6.36
2013-12-31,8.92,$1.40,6.37
2013-09-30,8.01,$-0.00,0.0
2013-06-30,7.91,$1.48,5.34
2013-03-31,6.73,$1.35,4.98
2012-12-31,6.02,$0.62,9.76
2012-09-30,6.27,$2.60,2.42
2012-06-30,5.32,$1.27,4.21
2012-03-31,5.59,$1.08,5.16
2011-12-31,4.19,$2.03,2.06
2011-09-30,4.32,$1.39,3.11
2011-06-30,5.06,$1.33,3.82
2011-03-31,4.75,$1.68,2.83
2010-12-31,4.34,$1.46,2.97
2010-09-30,4.52,$0.96,4.71
2010-06-30,4.82,$1.01,4.77
2010-03-31,4.24,$0.90,4.71
2009-12-31,4.28,$0.78,5.5
