Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,267.25,,17.1
2024-11-30,320.69,$15.63,20.52
2024-08-31,254.58,$17.66,14.42
2024-05-31,259.33,$15.51,16.72
2024-02-29,250.82,$15.93,15.74
2023-11-30,178.85,$16.34,10.94
2023-08-31,160.79,$15.90,10.11
2023-05-31,150.12,$17.02,8.82
2023-02-28,193.07,$12.95,14.91
2022-11-30,187.3,$10.81,17.32
2022-08-31,162.94,$7.76,21.01
2022-05-31,173.82,$6.06,28.69
2022-02-28,180.98,$7.98,22.67
2021-11-30,199.69,$9.22,21.66
2021-08-31,182.89,$10.11,18.09
2021-05-31,183.96,$10.82,17.01
2021-02-28,122.02,$11.88,10.27
2020-11-30,117.36,$11.37,10.32
2020-08-31,107.89,$11.37,9.49
2020-05-31,84.93,$12.83,6.62
2020-02-29,101.24,$11.76,8.61
2019-11-30,128.59,$11.14,11.54
2019-08-31,123.18,$11.10,11.1
2019-05-31,121.35,$7.74,15.67
2019-02-28,127.56,$7.86,16.23
2018-11-30,127.32,$7.37,17.27
2018-08-31,149.52,$7.51,19.91
2018-05-31,115.56,$9.53,12.13
2018-02-28,139.2,$8.77,15.88
2017-11-30,167.23,$8.47,19.73
2017-08-31,172.33,$6.35,27.15
2017-05-31,158.7,$6.21,25.55
2017-02-28,205.68,$6.57,31.3
2016-11-30,244.57,$7.25,33.72
2016-08-31,267.5,$7.00,38.24
2016-05-31,251.74,$6.91,36.45
2016-02-29,203.43,$6.05,33.65
2015-11-30,224.12,$5.42,41.32
2015-08-31,189.04,$5.38,35.11
2015-05-31,171.09,$4.88,35.08
2015-02-28,153.52,$4.77,32.18
2014-11-30,133.76,$4.44,30.12
2014-08-31,119.77,$4.62,25.91
2014-05-31,121.21,$3.74,32.39
2014-02-28,136.07,$3.83,35.56
2013-11-30,98.82,$3.78,26.15
2013-08-31,82.29,$2.34,35.22
2013-05-31,72.14,$2.39,30.17
2013-02-28,65.35,$2.17,30.12
2012-11-30,63.33,$2.19,28.9
2012-08-31,61.3,$3.36,18.23
2012-05-31,51.95,$3.73,13.94
2012-02-29,59.14,$3.53,16.77
2011-11-30,47.68,$3.84,12.41
2011-08-31,43.56,$3.25,13.41
2011-05-31,57.53,$2.86,20.14
2011-02-28,53.22,$2.72,19.54
2010-11-30,50.6,$2.32,21.78
2010-08-31,36.3,$3.21,11.32
2010-05-31,38.42,$3.30,11.66
2010-02-28,36.3,$2.98,12.19
2009-11-30,29.96,$2.58,11.64
