MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data,MetLife Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.72,,4.03
2024-12-31,81.88,$20.53,3.99
2024-09-30,81.91,$20.89,3.92
2024-06-30,69.15,$19.56,3.54
2024-03-31,72.46,$18.60,3.9
2023-12-31,64.15,$18.00,3.56
2023-09-30,60.5,$14.01,4.32
2023-06-30,53.93,$14.81,3.64
2023-03-31,54.74,$16.26,3.37
2022-12-31,67.89,$16.13,4.21
2022-09-30,56.63,$19.19,2.95
2022-06-30,58.05,$17.84,3.25
2022-03-31,64.48,$14.98,4.3
2021-12-31,56.94,$14.20,4.01
2021-09-30,55.82,$14.07,3.97
2021-06-30,53.7,$14.06,3.82
2021-03-31,54.15,$12.41,4.36
2020-12-31,41.45,$12.75,3.25
2020-09-30,32.43,$12.51,2.59
2020-06-30,31.48,$12.87,2.45
2020-03-31,26.0,$14.45,1.8
2019-12-31,42.97,$14.60,2.94
2019-09-30,39.4,$10.34,3.81
2019-06-30,41.1,$9.51,4.32
2019-03-31,34.9,$12.49,2.79
2018-12-31,33.35,$11.58,2.88
2018-09-30,37.59,$12.27,3.06
2018-06-30,34.76,$13.05,2.66
2018-03-31,36.26,$10.72,3.38
2017-12-31,39.61,$11.39,3.48
2017-09-30,40.41,$14.65,2.76
2017-06-30,37.93,$12.82,2.96
2017-03-31,36.19,$13.51,2.68
2016-12-31,36.64,$13.33,2.75
2016-09-30,29.95,$12.25,2.44
2016-06-30,26.58,$11.94,2.23
2016-03-31,29.05,$11.81,2.46
2015-12-31,31.59,$12.45,2.54
2015-09-30,30.67,$13.17,2.33
2015-06-30,36.18,$14.38,2.52
2015-03-31,32.43,$14.52,2.23
2014-12-31,34.45,$14.33,2.4
2014-09-30,34.0,$15.11,2.25
2014-06-30,34.92,$13.90,2.51
2014-03-31,32.96,$14.15,2.33
2013-12-31,33.46,$14.45,2.32
2013-09-30,28.97,$10.52,2.75
2013-06-30,28.08,$11.23,2.5
2013-03-31,23.18,$13.00,1.78
2012-12-31,19.98,$15.94,1.25
2012-09-30,20.44,$15.50,1.32
2012-06-30,18.3,$14.59,1.25
2012-03-31,22.15,$11.76,1.88
2011-12-31,18.49,$9.62,1.92
2011-09-30,16.26,$11.57,1.41
2011-06-30,25.46,$10.58,2.41
2011-03-31,25.96,$8.78,2.96
2010-12-31,25.79,$8.98,2.87
2010-09-30,21.93,$7.22,3.04
2010-06-30,21.54,$10.87,1.98
2010-03-31,24.72,$9.33,2.65
2009-12-31,20.16,$4.65,4.34
