Century Casinos Price to Free Cash Flow Ratio Historical Data,Century Casinos Price to Free Cash Flow Ratio Historical Data,Century Casinos Price to Free Cash Flow Ratio Historical Data,Century Casinos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.84,,0.0
2024-12-31,3.24,$-2.04,0.0
2024-09-30,2.56,$-2.20,0.0
2024-06-30,2.77,$-2.41,0.0
2024-03-31,3.16,$-2.11,0.0
2023-12-31,4.88,$-1.17,0.0
2023-09-30,5.13,$-0.84,0.0
2023-06-30,7.1,$-0.32,0.0
2023-03-31,7.33,$0.13,54.46
2022-12-31,7.03,$0.58,12.07
2022-09-30,6.56,$1.21,5.44
2022-06-30,7.2,$1.69,4.26
2022-03-31,11.95,$1.85,6.45
2021-12-31,12.18,$1.57,7.77
2021-09-30,13.47,$1.36,9.94
2021-06-30,13.43,$1.12,12.03
2021-03-31,10.27,$0.26,39.24
2020-12-31,6.39,$-0.06,0.0
2020-09-30,5.48,$-0.02,0.0
2020-06-30,4.15,$-0.45,0.0
2020-03-31,2.41,$-0.27,0.0
2019-12-31,7.92,$-0.18,0.0
2019-09-30,7.73,$-0.55,0.0
2019-06-30,9.7,$-0.79,0.0
2019-03-31,9.06,$-1.05,0.0
2018-12-31,7.39,$-1.15,0.0
2018-09-30,7.46,$-0.96,0.0
2018-06-30,8.75,$-0.52,0.0
2018-03-31,7.46,$-0.06,0.0
2017-12-31,9.13,$0.33,28.05
2017-09-30,8.21,$0.62,13.2
2017-06-30,7.37,$0.61,12.02
2017-03-31,7.56,$0.75,10.15
2016-12-31,8.23,$0.62,13.35
2016-09-30,6.91,$0.49,14.11
2016-06-30,6.23,$0.41,15.11
2016-03-31,6.16,$0.27,22.48
2015-12-31,7.78,$0.05,168.03
2015-09-30,6.15,$-0.10,0.0
2015-06-30,6.3,$-0.42,0.0
2015-03-31,5.45,$-0.49,0.0
2014-12-31,5.05,$-0.36,0.0
2014-09-30,5.13,$-0.33,0.0
2014-06-30,5.79,$-0.04,0.0
2014-03-31,7.17,$0.03,240.6
2013-12-31,5.21,$0.11,45.54
2013-09-30,5.72,$0.27,21.45
2013-06-30,3.46,$0.27,12.93
2013-03-31,2.86,$0.26,11.18
2012-12-31,2.84,$0.23,12.62
2012-09-30,2.65,$0.32,8.31
2012-06-30,2.72,$0.31,8.89
2012-03-31,2.87,$0.27,10.44
2011-12-31,2.53,$0.33,7.73
2011-09-30,2.62,$0.12,21.27
2011-06-30,2.78,$0.04,73.16
2011-03-31,2.98,$-0.06,0.0
2010-12-31,2.44,$-0.10,0.0
2010-09-30,2.06,$0.00,0.0
2010-06-30,2.14,$0.07,30.92
2010-03-31,2.5,$0.17,14.62
2009-12-31,2.69,$0.22,12.42
