Trio-Tech Price to Free Cash Flow Ratio Historical Data,Trio-Tech Price to Free Cash Flow Ratio Historical Data,Trio-Tech Price to Free Cash Flow Ratio Historical Data,Trio-Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.3,,26.09
2024-12-31,5.81,$0.24,24.06
2024-09-30,5.54,$0.05,103.94
2024-06-30,6.09,$0.48,12.61
2024-03-31,6.36,$0.88,7.23
2023-12-31,5.07,$1.22,4.15
2023-09-30,7.0,$0.78,9.02
2023-06-30,4.81,$0.89,5.43
2023-03-31,4.7,$0.85,5.52
2022-12-31,4.5,$0.10,47.22
2022-09-30,4.64,$0.54,8.58
2022-06-30,4.33,$0.16,27.6
2022-03-31,7.21,$-0.07,0.0
2021-12-31,13.43,$0.12,112.38
2021-09-30,4.22,$-0.25,0.0
2021-06-30,5.03,$0.14,37.15
2021-03-31,4.49,$0.27,16.49
2020-12-31,3.96,$0.34,11.71
2020-09-30,3.42,$0.51,6.65
2020-06-30,3.13,$0.55,5.74
2020-03-31,2.69,$0.68,3.98
2019-12-31,3.99,$0.67,5.92
2019-09-30,3.6,$0.74,4.89
2019-06-30,2.88,$0.43,6.7
2019-03-31,3.33,$0.37,9.06
2018-12-31,2.46,$0.56,4.37
2018-09-30,4.57,$0.55,8.25
2018-06-30,4.47,$0.57,7.9
2018-03-31,5.75,$0.33,17.48
2017-12-31,7.01,$-0.37,0.0
2017-09-30,5.24,$-0.27,0.0
2017-06-30,4.98,$0.48,10.35
2017-03-31,4.14,$0.14,29.68
2016-12-31,3.32,$0.41,8.13
2016-09-30,3.6,$0.34,10.64
2016-06-30,3.58,$-0.12,0.0
2016-03-31,3.2,$0.44,7.3
2015-12-31,2.79,$0.57,4.91
2015-09-30,2.45,$0.65,3.78
2015-06-30,3.06,$0.52,5.89
2015-03-31,2.71,$0.25,11.01
2014-12-31,2.91,$0.34,8.55
2014-09-30,3.87,$0.00,0.0
2014-06-30,3.47,$0.23,15.37
2014-03-31,3.21,$-0.06,0.0
2013-12-31,3.35,$-0.21,0.0
2013-09-30,3.24,$0.98,3.3
2013-06-30,2.8,$0.52,5.43
2013-03-31,2.07,$0.29,7.13
2012-12-31,1.52,$0.15,9.82
2012-09-30,1.42,$-1.53,0.0
2012-06-30,1.58,$-1.58,0.0
2012-03-31,2.16,$-1.64,0.0
2011-12-31,2.39,$-1.32,0.0
2011-09-30,2.73,$0.64,4.24
2011-06-30,3.29,$0.19,17.39
2011-03-31,4.6,$-0.08,0.0
2010-12-31,4.17,$-0.20,0.0
2010-09-30,4.72,$-1.62,0.0
2010-06-30,3.84,$-2.23,0.0
2010-03-31,3.84,$-1.46,0.0
2009-12-31,3.23,$-1.42,0.0
