Jumia Technologies Price to Free Cash Flow Ratio Historical Data,Jumia Technologies Price to Free Cash Flow Ratio Historical Data,Jumia Technologies Price to Free Cash Flow Ratio Historical Data,Jumia Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.43,,0.0
2024-12-31,3.82,$-0.55,0.0
2024-09-30,5.34,$-0.74,0.0
2024-06-30,7.02,$-0.39,0.0
2024-03-31,5.12,$-0.74,0.0
2023-12-31,3.53,$-0.74,0.0
2023-09-30,2.64,0,0.0
2023-06-30,3.42,$-0.40,0.0
2023-03-31,3.29,0,0.0
2022-12-31,3.21,0,0.0
2022-09-30,5.81,0,0.0
2022-06-30,6.06,0,0.0
2022-03-31,9.58,0,0.0
2021-12-31,11.4,0,0.0
2021-09-30,18.59,0,0.0
2021-06-30,30.33,0,0.0
2021-03-31,35.46,0,0.0
2020-12-31,40.35,0,0.0
2020-09-30,7.99,0,0.0
2020-06-30,5.49,0,0.0
2020-03-31,2.92,0,0.0
