CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data,CVS Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.64,,13.69
2024-12-31,44.89,$5.01,8.96
2024-09-30,62.17,$1.41,44.17
2024-06-30,57.73,$4.19,13.77
2024-03-31,77.23,$6.37,12.12
2023-12-31,75.77,$8.06,9.4
2023-09-30,66.43,$8.74,7.6
2023-06-30,65.25,$13.60,4.8
2023-03-31,69.56,$13.27,5.24
2022-12-31,86.64,$10.17,8.52
2022-09-30,88.13,$14.80,5.95
2022-06-30,85.12,$11.97,7.11
2022-03-31,92.49,$12.18,7.59
2021-12-31,93.77,$11.85,7.92
2021-09-30,76.7,$11.46,6.69
2021-06-30,74.96,$8.79,8.53
2021-03-31,67.14,$9.83,6.83
2020-12-31,60.55,$10.22,5.93
2020-09-30,51.34,$9.63,5.33
2020-06-30,56.67,$10.38,5.46
2020-03-31,51.33,$8.97,5.72
2019-12-31,63.84,$7.96,8.02
2019-09-30,53.79,$8.09,6.65
2019-06-30,46.06,$6.85,6.73
2019-03-31,45.15,$5.65,7.99
2018-12-31,54.44,$6.54,8.32
2018-09-30,64.96,$4.16,15.63
2018-06-30,52.7,$5.70,9.25
2018-03-31,50.56,$4.81,10.52
2017-12-31,58.56,$5.95,9.85
2017-09-30,65.25,$7.96,8.2
2017-06-30,64.14,$9.10,7.05
2017-03-31,62.18,$8.64,7.2
2016-12-31,62.13,$7.34,8.47
2016-09-30,69.72,$8.50,8.21
2016-06-30,74.68,$6.45,11.58
2016-03-31,80.58,$5.80,13.88
2015-12-31,75.61,$5.51,13.72
2015-09-30,74.36,$5.33,13.94
2015-06-30,80.58,$5.13,15.71
2015-03-31,79.02,$5.02,15.73
2014-12-31,73.48,$5.14,14.29
2014-09-30,60.52,$3.58,16.92
2014-06-30,57.11,$3.59,15.91
2014-03-31,56.51,$3.58,15.8
2013-12-31,53.81,$3.14,17.12
2013-09-30,42.51,$3.19,13.34
2013-06-30,42.67,$2.57,16.58
2013-03-31,40.88,$2.87,14.23
2012-12-31,35.79,$3.64,9.82
2012-09-30,35.72,$2.92,12.23
2012-06-30,34.35,$3.71,9.25
2012-03-31,32.81,$3.66,8.97
2011-12-31,29.75,$2.96,10.05
2011-09-30,24.42,$3.74,6.53
2011-06-30,27.22,$3.15,8.63
2011-03-31,24.78,$2.71,9.14
2010-12-31,25.01,$2.04,12.26
2010-09-30,22.57,$1.90,11.89
2010-06-30,20.97,$1.50,13.96
2010-03-31,26.09,$1.31,19.98
2009-12-31,22.92,$1.04,22.01
