Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data,Global Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.66,,18.55
2024-12-31,24.79,$1.22,20.3
2024-09-30,33.67,$1.03,32.79
2024-06-30,30.84,$1.76,17.56
2024-03-31,43.73,$2.24,19.52
2023-12-31,37.72,$2.83,13.33
2023-09-30,32.35,$3.27,9.88
2023-06-30,26.66,$2.91,9.15
2023-03-31,25.55,$2.25,11.34
2022-12-31,22.23,$1.13,19.65
2022-09-30,25.18,$0.46,55.13
2022-06-30,31.52,$0.31,100.35
2022-03-31,29.92,$0.29,101.63
2021-12-31,37.75,$1.22,30.91
2021-09-30,33.99,$1.89,17.97
2021-06-30,32.8,$2.16,15.17
2021-03-31,36.56,$1.91,19.1
2020-12-31,31.77,$1.74,18.28
2020-09-30,19.96,$1.18,16.88
2020-06-30,17.02,$0.74,22.93
2020-03-31,14.59,$1.37,10.63
2019-12-31,19.51,$1.63,11.96
2019-09-30,16.98,$1.44,11.8
2019-06-30,16.99,$0.15,111.07
2019-03-31,17.27,$-0.52,0.0
2018-12-31,18.11,$-0.71,0.0
2018-09-30,19.55,$-0.30,0.0
2018-06-30,20.31,$1.18,17.27
2018-03-31,16.35,$1.65,9.92
2017-12-31,18.14,$1.15,15.79
2017-09-30,14.36,$0.87,16.6
2017-06-30,10.17,$0.09,110.42
2017-03-31,5.96,$-0.27,0.0
2016-12-31,4.69,$-1.59,0.0
2016-09-30,4.21,$0.60,7.05
2016-06-30,4.5,$0.73,6.16
2016-03-31,4.63,$0.96,4.81
2015-12-31,4.54,$2.10,2.16
2015-09-30,3.95,$0.86,4.58
2015-06-30,4.56,$0.50,9.15
2015-03-31,6.45,$0.16,40.17
2014-12-31,7.13,$-0.17,0.0
2014-09-30,6.58,$-0.93,0.0
2014-06-30,7.59,$0.50,15.04
2014-03-31,7.87,$0.66,11.84
2013-12-31,5.94,$0.90,6.58
2013-09-30,4.89,$1.45,3.37
2013-06-30,4.97,$0.17,28.55
2013-03-31,5.23,$1.02,5.14
2012-12-31,5.1,$1.71,2.98
2012-09-30,6.08,$0.12,50.07
2012-06-30,6.09,$1.34,4.55
2012-03-31,8.68,$0.34,25.23
2011-12-31,8.45,$0.16,53.16
2011-09-30,6.55,$3.21,2.04
2011-06-30,7.7,$1.85,4.16
2011-03-31,6.96,$1.88,3.7
2010-12-31,7.26,$1.07,6.79
2010-09-30,6.33,$-1.53,0.0
2010-06-30,7.76,$-0.64,0.0
2010-03-31,11.2,$-0.09,0.0
2009-12-31,8.09,$-0.38,0.0
