First Community Bancshares Price to Free Cash Flow Ratio Historical Data,First Community Bancshares Price to Free Cash Flow Ratio Historical Data,First Community Bancshares Price to Free Cash Flow Ratio Historical Data,First Community Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.7,,12.62
2024-12-31,41.64,$3.07,13.58
2024-09-30,42.86,$3.20,13.41
2024-06-30,36.31,$3.60,10.07
2024-03-31,33.86,$3.32,10.2
2023-12-31,35.96,$3.42,10.51
2023-09-30,28.3,$3.51,8.06
2023-06-30,28.32,$3.29,8.6
2023-03-31,23.57,$3.88,6.08
2022-12-31,31.61,$3.62,8.73
2022-09-30,29.63,$3.24,9.14
2022-06-30,26.96,$3.39,7.95
2022-03-31,25.6,$2.84,9.01
2021-12-31,30.05,$2.86,10.49
2021-09-30,28.3,$3.04,9.32
2021-06-30,26.4,$2.88,9.17
2021-03-31,26.31,$2.74,9.59
2020-12-31,18.73,$2.67,7.03
2020-09-30,15.47,$2.87,5.39
2020-06-30,19.0,$2.95,6.44
2020-03-31,19.49,$3.14,6.21
2019-12-31,25.73,$3.39,7.59
2019-09-30,26.64,$3.18,8.39
2019-06-30,27.58,$3.20,8.63
2019-03-31,26.87,$3.23,8.31
2018-12-31,25.37,$3.05,8.32
2018-09-30,27.14,$3.14,8.63
2018-06-30,25.36,$2.70,9.39
2018-03-31,23.63,$2.31,10.21
2017-12-31,22.22,$2.25,9.87
2017-09-30,22.38,$1.94,11.54
2017-06-30,20.89,$2.21,9.45
2017-03-31,18.95,$2.66,7.12
2016-12-31,22.75,$2.85,7.99
2016-09-30,18.59,$2.82,6.6
2016-06-30,16.7,$3.23,5.17
2016-03-31,14.67,$3.25,4.51
2015-12-31,13.66,$3.42,4.0
2015-09-30,13.03,$3.03,4.3
2015-06-30,13.17,$2.65,4.97
2015-03-31,12.57,$2.85,4.4
2014-12-31,11.71,$2.63,4.46
2014-09-30,10.08,$3.33,3.03
2014-06-30,10.02,$3.24,3.1
2014-03-31,11.35,$2.82,4.02
2013-12-31,11.49,$2.33,4.93
2013-09-30,11.17,$1.93,5.78
2013-06-30,10.63,$2.07,5.14
2013-03-31,10.66,$2.00,5.33
2012-12-31,10.66,$2.83,3.76
2012-09-30,10.11,$3.43,2.95
2012-06-30,9.49,$3.15,3.01
2012-03-31,8.71,$3.50,2.49
2011-12-31,8.08,$3.09,2.61
2011-09-30,6.55,$2.77,2.36
2011-06-30,8.9,$2.68,3.32
2011-03-31,8.96,$2.82,3.17
2010-12-31,9.37,$3.34,2.8
2010-09-30,8.03,$2.22,3.61
2010-06-30,9.08,$1.60,5.66
2010-03-31,7.6,$1.15,6.59
2009-12-31,7.34,$0.75,9.84
