BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data,BRF S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.47,,3.88
2024-09-30,4.27,$0.89,4.78
2024-06-30,3.97,$0.60,6.66
2024-03-31,3.18,$0.45,7.04
2023-12-31,2.71,$0.27,9.92
2023-09-30,2.0,$0.20,10.02
2023-06-30,1.86,$0.43,4.35
2023-03-31,1.25,$0.28,4.4
2022-12-31,1.54,$-0.17,0.0
2022-09-30,2.29,$-0.24,0.0
2022-06-30,2.5,$-0.27,0.0
2022-03-31,3.88,$-0.40,0.0
2021-12-31,3.99,$0.27,14.68
2021-09-30,4.9,$-0.01,0.0
2021-06-30,5.34,$0.00,0.0
2021-03-31,4.38,$0.18,24.33
2020-12-31,4.1,$0.65,6.27
2020-09-30,3.2,$0.89,3.58
2020-06-30,3.88,$0.55,7.09
2020-03-31,2.83,$1.11,2.55
2019-12-31,8.5,$0.46,18.42
2019-09-30,8.94,$0.47,18.86
2019-06-30,7.42,$0.42,17.49
2019-03-31,5.68,$-0.16,0.0
2018-12-31,5.55,$-0.29,0.0
2018-09-30,5.35,$-0.02,0.0
2018-06-30,4.57,$0.04,107.28
2018-03-31,6.76,$0.20,33.75
2017-12-31,11.0,$-0.31,0.0
2017-09-30,14.07,$-0.49,0.0
2017-06-30,11.51,$-0.23,0.0
2017-03-31,11.96,$-0.56,0.0
2016-12-31,14.41,$-0.18,0.0
2016-09-30,16.66,$0.56,29.79
2016-06-30,13.43,$0.39,34.33
2016-03-31,13.71,$1.13,12.1
2015-09-30,16.89,$1.78,9.5
2015-03-31,18.65,$1.41,13.27
2014-12-31,21.84,$1.79,12.23
2014-09-30,22.25,$1.47,15.17
2014-06-30,22.39,$1.39,16.12
2014-03-31,18.55,$1.28,14.53
2013-12-31,19.21,$0.97,19.81
2013-09-30,22.58,$0.96,23.63
2013-06-30,19.81,$0.69,28.82
2013-03-31,20.15,$0.32,62.6
2012-12-31,19.15,$0.36,52.8
2012-09-30,15.7,$0.20,80.16
2012-06-30,13.78,$0.38,36.33
2012-03-31,18.09,$0.27,67.59
2011-12-31,17.67,$0.02,1090.81
2011-09-30,15.68,$1.14,13.75
2011-06-30,15.5,$1.02,15.13
2011-03-31,16.87,$1.34,12.63
2010-12-31,14.91,$1.43,10.46
2010-09-30,13.61,$0.62,22.06
2010-06-30,11.62,$0.14,80.35
2010-03-31,12.01,$-0.07,0.0
2009-12-31,11.44,$-0.11,0.0
