Priority Technology Holdings Price to Free Cash Flow Ratio Historical Data,Priority Technology Holdings Price to Free Cash Flow Ratio Historical Data,Priority Technology Holdings Price to Free Cash Flow Ratio Historical Data,Priority Technology Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.03,,11.72
2024-12-31,11.75,$0.69,17.15
2024-09-30,6.83,$0.52,13.24
2024-06-30,5.28,$0.60,8.83
2024-03-31,3.27,$0.48,6.85
2023-12-31,3.56,$0.68,5.23
2023-09-30,3.24,$0.77,4.21
2023-06-30,3.62,$0.72,5.02
2023-03-31,3.59,$0.76,4.75
2022-12-31,5.26,$0.56,9.43
2022-09-30,4.51,$0.08,56.66
2022-06-30,3.3,$0.05,73.17
2022-03-31,5.75,$-0.48,0.0
2021-12-31,7.08,$-0.48,0.0
2021-09-30,6.68,$-0.13,0.0
2021-06-30,7.64,$2.44,3.13
2021-03-31,6.94,$2.97,2.33
2020-12-31,7.04,$2.74,2.57
2020-09-30,3.16,$2.75,1.15
