"Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.2,,18.48
2024-09-30,11.37,$0.82,13.83
2024-06-30,11.13,$0.77,14.4
2024-03-31,11.55,$1.10,10.47
2023-12-31,12.08,$1.11,10.88
2023-09-30,11.92,$0.79,15.18
2023-06-30,15.35,$0.33,46.18
2023-03-31,14.72,$-0.53,0.0
2022-12-31,12.36,$-0.83,0.0
2022-09-30,9.85,$-0.72,0.0
2022-06-30,11.55,$0.38,30.33
2022-03-31,13.15,$1.04,12.65
2021-12-31,14.43,$0.87,16.56
2021-09-30,13.76,$1.84,7.47
2021-06-30,16.03,$1.15,13.88
2021-03-31,13.75,$1.15,11.91
2020-12-31,11.44,$1.15,9.91
2020-09-30,9.99,$0.86,11.59
2020-06-30,11.03,$0.86,12.8
2020-03-31,10.02,$0.86,11.63
2019-12-31,14.21,$0.86,16.49
2019-09-30,16.45,$2.62,6.29
2019-06-30,20.94,$2.62,8.01
2019-03-31,21.72,$2.62,8.31
2018-12-31,18.53,$2.62,7.09
2018-09-30,20.57,$1.14,18.08
2018-06-30,18.39,$1.14,16.16
2018-03-31,21.42,$1.14,18.82
2017-12-31,21.54,$1.14,18.93
2017-09-30,19.46,$0.47,41.23
2017-06-30,18.96,$0.47,40.17
2017-03-31,18.04,$0.47,38.22
2016-12-31,14.98,$0.47,31.73
2016-09-30,14.28,$0.75,18.99
2016-06-30,16.51,$0.75,21.95
2016-03-31,15.67,$0.75,20.83
2015-12-31,15.12,$0.75,20.1
2015-09-30,15.33,$-0.50,0.0
2015-06-30,14.66,$-0.50,0.0
2015-03-31,14.15,$-0.50,0.0
2014-12-31,12.65,$-0.50,0.0
2014-09-30,14.85,$0.80,18.55
2014-06-30,15.79,$0.48,32.96
2014-03-31,14.84,$0.80,18.53
2013-12-31,15.98,$0.80,19.96
2013-09-30,17.47,$0.35,50.43
2013-06-30,18.78,$0.67,28.11
2013-03-31,21.51,$0.35,62.1
2012-12-31,20.46,$0.35,59.08
2012-09-30,18.46,$1.23,15.05
2012-06-30,16.14,$1.23,13.15
2012-03-31,20.22,$1.23,16.48
2011-12-31,16.22,$1.23,13.22
2011-09-30,13.19,$1.22,10.78
2011-06-30,15.02,$1.22,12.27
2011-03-31,15.01,$1.22,12.27
2010-12-31,15.33,$1.22,12.53
2010-09-30,14.04,$-1.58,0.0
2010-06-30,10.87,$-1.58,0.0
2010-03-31,9.26,$-1.58,0.0
2009-12-31,9.63,$-1.58,0.0
