AerSale Price to Free Cash Flow Ratio Historical Data,AerSale Price to Free Cash Flow Ratio Historical Data,AerSale Price to Free Cash Flow Ratio Historical Data,AerSale Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.39,,0.0
2024-12-31,6.3,$-0.09,0.0
2024-09-30,5.05,$-0.89,0.0
2024-06-30,6.92,$-1.83,0.0
2024-03-31,7.18,$-2.60,0.0
2023-12-31,12.7,$-3.32,0.0
2023-09-30,14.94,$-2.85,0.0
2023-06-30,14.7,$-2.90,0.0
2023-03-31,17.22,$-1.20,0.0
2022-12-31,16.22,$0.70,23.26
2022-09-30,18.54,$1.60,11.62
2022-06-30,14.51,$2.91,4.98
2022-03-31,15.72,$2.95,5.33
2021-12-31,17.74,$1.95,9.09
2021-09-30,17.0,$-561.77,0.0
2021-06-30,12.46,"$-1,098.32",0.0
2021-03-31,12.29,$-561.81,0.0
2020-12-31,13.41,$-14.97,0.0
2020-09-30,10.24,$802.98,0.01
2020-06-30,10.27,"$1,338.94",0.01
2020-03-31,10.05,$801.82,0.01
2019-12-31,10.18,$255.17,0.04
