Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data,Federal Signal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,75.88,,24.55
2024-12-31,92.39,$3.09,29.89
2024-09-30,93.33,$3.29,28.33
2024-06-30,83.45,$3.00,27.85
2024-03-31,84.53,$3.02,27.97
2023-12-31,76.32,$2.67,28.6
2023-09-30,59.31,$1.66,35.79
2023-06-30,63.48,$1.07,59.58
2023-03-31,53.64,$0.76,70.58
2022-12-31,45.9,$0.31,149.43
2022-09-30,36.8,$0.13,275.44
2022-06-30,35.03,$0.24,145.11
2022-03-31,33.12,$0.25,130.5
2021-12-31,42.42,$1.04,40.77
2021-09-30,37.72,$1.51,25.05
2021-06-30,39.21,$1.42,27.67
2021-03-31,37.24,$2.15,17.34
2020-12-31,32.18,$1.73,18.64
2020-09-30,28.31,$1.40,20.29
2020-06-30,28.7,$1.63,17.65
2020-03-31,26.26,$1.25,21.06
2019-12-31,30.95,$1.10,28.16
2019-09-30,31.34,$0.89,35.21
2019-06-30,25.54,$1.05,24.36
2019-03-31,24.74,$0.95,26.13
2018-12-31,18.88,$1.29,14.68
2018-09-30,25.32,$1.32,19.2
2018-06-30,21.95,$0.87,25.29
2018-03-31,20.68,$0.99,20.99
2017-12-31,18.81,$1.07,17.53
2017-09-30,19.86,$0.85,23.32
2017-06-30,16.14,$0.99,16.34
2017-03-31,12.79,$0.63,20.28
2016-12-31,14.38,$0.30,47.32
2016-09-30,12.16,$0.65,18.79
2016-06-30,11.74,$1.06,11.11
2016-03-31,12.02,$1.25,9.58
2015-12-31,14.31,$1.38,10.35
2015-09-30,12.32,$1.39,8.87
2015-06-30,13.35,$1.06,12.6
2015-03-31,14.08,$1.12,12.6
2014-12-31,13.71,$0.93,14.76
2014-09-30,11.74,$1.17,10.05
2014-06-30,12.96,$1.26,10.32
2014-03-31,13.15,$1.11,11.82
2013-12-31,12.93,$1.00,12.91
2013-09-30,11.36,$0.68,16.76
2013-06-30,7.72,$0.24,32.46
2013-03-31,7.18,$-0.09,0.0
2012-12-31,6.72,$0.19,35.09
2012-09-30,5.58,$-0.15,0.0
2012-06-30,5.15,$-0.01,0.0
2012-03-31,4.91,$0.23,21.74
2011-12-31,3.66,$-0.13,0.0
2011-09-30,3.9,$0.16,24.6
2011-06-30,5.79,$0.40,14.63
2011-03-31,5.75,$0.25,22.88
2010-12-31,6.05,$0.36,16.77
2010-09-30,4.72,$0.52,9.04
2010-06-30,5.23,$0.58,9.03
2010-03-31,7.73,$0.74,10.4
2009-12-31,5.13,$1.07,4.79
