American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data,American Tower Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,214.27,,27.11
2024-12-31,183.41,$7.91,23.2
2024-09-30,230.87,$7.61,30.34
2024-06-30,192.96,$7.33,26.32
2024-03-31,192.8,$6.85,28.14
2023-12-31,210.65,$6.26,33.65
2023-09-30,157.61,$6.10,25.83
2023-06-30,185.87,$5.14,36.15
2023-03-31,192.84,$4.64,41.6
2022-12-31,199.94,$3.94,50.76
2022-09-30,199.62,$3.32,60.2
2022-06-30,237.64,$6.20,38.34
2022-03-31,230.9,$6.48,35.62
2021-12-31,268.84,$7.60,35.39
2021-09-30,242.73,$8.78,27.64
2021-06-30,245.88,$6.52,37.73
2021-03-31,215.47,$6.80,31.71
2020-12-31,202.31,$6.39,31.67
2020-09-30,216.68,$6.30,34.41
2020-06-30,230.65,$6.21,37.15
2020-03-31,192.6,$6.24,30.85
2019-12-31,203.27,$6.20,32.8
2019-09-30,194.72,$6.74,28.88
2019-06-30,179.27,$6.51,27.55
2019-03-31,171.27,$6.32,27.11
2018-12-31,137.49,$6.40,21.48
2018-09-30,125.61,$5.48,22.91
2018-06-30,123.95,$5.30,23.39
2018-03-31,123.59,$5.08,24.32
2017-12-31,121.32,$4.92,24.68
2017-09-30,115.66,$4.86,23.79
2017-06-30,111.43,$4.95,22.51
2017-03-31,101.34,$4.93,20.54
2016-12-31,88.12,$4.70,18.73
2016-09-30,93.98,$4.50,20.9
2016-06-30,93.75,$4.01,23.36
2016-03-31,83.66,$3.50,23.91
2015-12-31,79.23,$3.40,23.31
2015-09-30,71.53,$3.19,22.44
2015-06-30,75.46,$3.08,24.48
2015-03-31,75.47,$3.10,24.36
2014-12-31,79.23,$2.90,27.32
2014-09-30,74.76,$2.56,29.24
2014-06-30,71.58,$2.45,29.26
2014-03-31,64.62,$2.17,29.73
2013-12-31,63.0,$2.19,28.76
2013-09-30,58.29,$2.02,28.91
2013-06-30,57.32,$2.04,28.16
2013-03-31,59.85,$2.09,28.63
2012-12-31,60.12,$2.12,28.37
2012-09-30,55.37,$2.31,23.95
2012-06-30,54.05,$2.15,25.19
2012-03-31,48.41,$1.85,26.18
2011-12-31,46.09,$1.61,28.69
2011-09-30,41.08,$1.46,28.11
2011-06-30,39.95,$1.53,26.16
2011-03-31,39.56,$1.64,24.09
2010-12-31,39.43,$1.67,23.63
2010-09-30,39.14,$1.66,23.62
2010-06-30,33.98,$1.68,20.23
2010-03-31,32.53,$1.56,20.84
2009-12-31,32.99,$1.45,22.68
