Titan Machinery Price to Free Cash Flow Ratio Historical Data,Titan Machinery Price to Free Cash Flow Ratio Historical Data,Titan Machinery Price to Free Cash Flow Ratio Historical Data,Titan Machinery Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.63,,0.0
2024-10-31,13.73,$-2.45,0.0
2024-07-31,17.83,$-0.49,0.0
2024-04-30,22.26,$-2.07,0.0
2024-01-31,26.73,$-3.89,0.0
2023-10-31,24.84,$-4.87,0.0
2023-07-31,31.92,$-5.94,0.0
2023-04-30,31.35,$-4.88,0.0
2023-01-31,43.94,$-1.01,0.0
2022-10-31,34.38,$2.87,11.99
2022-07-31,28.13,$4.25,6.62
2022-04-30,23.58,$5.41,4.36
2022-01-31,30.8,$6.17,4.99
2021-10-31,28.42,$7.11,4.0
2021-07-31,28.53,$7.49,3.81
2021-04-30,26.11,$8.50,3.07
2021-01-31,21.3,$7.22,2.95
2020-10-31,14.99,$2.31,6.5
2020-07-31,10.87,$-0.03,0.0
2020-04-30,9.4,$-1.36,0.0
2020-01-31,12.21,$-0.99,0.0
2019-10-31,16.6,$0.25,67.12
2019-07-31,20.74,$1.72,12.05
2019-04-30,17.2,$2.91,5.91
2019-01-31,18.74,$1.66,11.29
2018-10-31,14.25,$1.94,7.33
2018-07-31,15.14,$0.20,75.44
2018-04-30,19.32,$0.66,29.42
2018-01-31,21.49,$3.47,6.2
2017-10-31,14.89,$4.72,3.15
2017-07-31,17.85,$5.85,3.05
2017-04-30,15.85,$8.82,1.8
2017-01-31,13.81,$6.15,2.25
2016-10-31,9.29,$4.75,1.95
2016-07-31,11.21,$4.98,2.25
2016-04-30,13.0,$9.15,1.42
2016-01-31,8.49,$10.95,0.78
2015-10-31,12.23,$15.16,0.81
2015-07-31,14.05,$14.66,0.96
2015-04-30,14.65,$5.38,2.73
2015-01-31,14.13,$1.92,7.37
2014-10-31,13.76,$-2.55,0.0
2014-07-31,14.66,$-5.20,0.0
2014-04-30,17.64,$-6.30,0.0
2014-01-31,16.3,$-4.25,0.0
2013-10-31,17.65,$-3.62,0.0
2013-07-31,19.09,$-5.32,0.0
2013-04-30,22.56,$-6.87,0.0
2013-01-31,28.91,$-8.51,0.0
2012-10-31,23.6,$-12.16,0.0
2012-07-31,28.44,$-13.27,0.0
2012-04-30,35.63,$-14.06,0.0
2012-01-31,24.74,$-12.37,0.0
2011-10-31,23.33,$-12.36,0.0
2011-07-31,26.41,$-7.93,0.0
2011-04-30,31.46,$-5.73,0.0
2011-01-31,24.23,$-4.63,0.0
2010-10-31,19.44,$-4.10,0.0
2010-07-31,14.27,$-3.72,0.0
2010-04-30,14.38,$-2.07,0.0
2010-01-31,11.02,$-3.75,0.0
2009-10-31,10.73,$-4.91,0.0
