Sage Therapeutics Price to Free Cash Flow Ratio Historical Data,Sage Therapeutics Price to Free Cash Flow Ratio Historical Data,Sage Therapeutics Price to Free Cash Flow Ratio Historical Data,Sage Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.01,,0.0
2024-12-31,5.43,$-4.40,0.0
2024-09-30,7.22,$-5.29,0.0
2024-06-30,10.86,$-6.22,0.0
2024-03-31,18.74,$-7.09,0.0
2023-12-31,21.67,$-9.04,0.0
2023-09-30,20.58,$-9.20,0.0
2023-06-30,47.02,$-8.93,0.0
2023-03-31,41.96,$-8.52,0.0
2022-12-31,38.14,$-7.77,0.0
2022-09-30,39.16,$-7.30,0.0
2022-06-30,32.3,$-6.46,0.0
2022-03-31,33.1,$-6.41,0.0
2021-12-31,42.54,$-6.45,0.0
2021-09-30,44.31,$14.43,3.07
2021-06-30,56.81,$13.84,4.1
2021-03-31,74.85,$13.30,5.63
2020-12-31,86.51,$12.53,6.91
2020-09-30,61.12,$-9.12,0.0
2020-06-30,41.58,$-9.85,0.0
2020-03-31,28.72,$-10.03,0.0
2019-12-31,72.19,$-10.51,0.0
2019-09-30,140.29,$-10.34,0.0
2019-06-30,183.09,$-9.59,0.0
2019-03-31,159.05,$-7.04,0.0
2018-12-31,95.79,$-5.71,0.0
2018-09-30,141.25,$-4.94,0.0
2018-06-30,156.53,$-4.44,0.0
2018-03-31,161.07,$-6.09,0.0
2017-12-31,164.71,$-5.79,0.0
2017-09-30,62.3,$-5.28,0.0
2017-06-30,79.64,$-4.94,0.0
2017-03-31,71.07,$-4.20,0.0
2016-12-31,51.06,$-3.59,0.0
2016-09-30,46.05,$-3.32,0.0
2016-06-30,30.13,$-3.07,0.0
2016-03-31,32.06,$-2.86,0.0
2015-12-31,58.3,$-2.55,0.0
2015-09-30,42.32,$-2.15,0.0
2015-06-30,73.0,$-2.45,0.0
