MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data,MKS Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.57,,14.93
2024-12-31,104.39,$6.07,17.21
2024-09-30,108.51,$6.42,16.9
2024-06-30,130.09,$6.46,20.14
2024-03-31,132.28,$3.90,33.92
2023-12-31,102.13,$3.47,29.4
2023-09-30,85.67,$3.50,24.49
2023-06-30,106.77,$4.11,25.97
2023-03-31,87.34,$5.87,14.87
2022-12-31,83.3,$6.09,13.67
2022-09-30,81.03,$6.93,11.69
2022-06-30,100.44,$6.59,15.25
2022-03-31,146.54,$8.65,16.94
2021-12-31,169.9,$9.93,17.11
2021-09-30,147.0,$9.07,16.2
2021-06-30,173.09,$8.90,19.45
2021-03-31,180.14,$8.36,21.54
2020-12-31,146.0,$7.74,18.86
2020-09-30,105.84,$6.58,16.08
2020-06-30,109.54,$5.16,21.21
2020-03-31,78.63,$4.19,18.79
2019-12-31,106.01,$3.28,32.34
2019-09-30,88.76,$4.21,21.09
2019-06-30,74.72,$4.90,15.25
2019-03-31,89.02,$5.50,16.18
2018-12-31,61.66,$6.38,9.67
2018-09-30,76.29,$5.62,13.58
2018-06-30,90.89,$5.77,15.74
2018-03-31,109.64,$5.90,18.58
2017-12-31,89.45,$5.88,15.21
2017-09-30,89.25,$5.51,16.2
2017-06-30,63.46,$5.16,12.29
2017-03-31,64.68,$3.71,17.42
2016-12-31,55.74,$2.98,18.72
2016-09-30,46.53,$2.86,16.29
2016-06-30,40.15,$2.19,18.32
2016-03-31,34.95,$2.42,14.42
2015-12-31,33.25,$2.35,14.15
2015-09-30,30.82,$2.15,14.3
2015-06-30,34.7,$2.26,15.35
2015-03-31,30.78,$1.85,16.63
2014-12-31,33.17,$1.66,20.01
2014-09-30,30.12,$1.70,17.68
2014-06-30,28.05,$1.59,17.66
2014-03-31,26.69,$1.33,20.01
2013-12-31,26.57,$1.19,22.32
2013-09-30,23.49,$0.92,25.4
2013-06-30,23.29,$0.84,27.73
2013-03-31,23.74,$1.80,13.2
2012-12-31,22.37,$2.24,9.97
2012-09-30,21.97,$2.80,7.86
2012-06-30,24.73,$3.06,8.09
2012-03-31,25.16,$2.62,9.6
2011-12-31,23.59,$2.66,8.87
2011-09-30,18.3,$3.42,5.35
2011-06-30,22.12,$3.25,6.8
2011-03-31,27.72,$3.10,8.94
2010-12-31,20.29,$2.90,7.0
2010-09-30,14.89,$1.44,10.38
2010-06-30,15.51,$0.82,18.86
2010-03-31,16.23,$0.51,32.13
2009-12-31,14.41,$0.01,980.46
