Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data,Installed Building Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,174.89,,19.39
2024-12-31,175.25,$9.02,19.43
2024-09-30,245.84,$9.82,25.04
2024-06-30,205.0,$10.34,19.82
2024-03-31,257.45,$10.07,25.56
2023-12-31,180.45,$9.94,18.16
2023-09-30,123.05,$9.61,12.8
2023-06-30,137.75,$9.43,14.61
2023-03-31,111.76,$8.93,12.51
2022-12-31,82.95,$8.12,10.22
2022-09-30,78.21,$6.21,12.59
2022-06-30,80.01,$3.96,20.19
2022-03-31,80.99,$3.88,20.86
2021-12-31,132.27,$3.51,37.68
2021-09-30,101.21,$4.05,25.02
2021-06-30,115.29,$4.14,27.86
2021-03-31,104.2,$5.04,20.69
2020-12-31,95.54,$4.99,19.13
2020-09-30,95.37,$4.14,23.02
2020-06-30,64.47,$4.32,14.94
2020-03-31,37.37,$3.09,12.09
2019-12-31,64.55,$2.47,26.18
2019-09-30,53.74,$3.00,17.94
2019-06-30,55.51,$2.72,20.4
2019-03-31,45.46,$2.40,18.94
2018-12-31,31.58,$2.03,15.56
2018-09-30,36.55,$1.59,22.98
2018-06-30,53.0,$1.23,42.94
2018-03-31,56.28,$0.82,68.55
2017-12-31,71.19,$1.20,59.39
2017-09-30,60.74,$1.33,45.67
2017-06-30,49.63,$1.21,41.12
2017-03-31,49.44,$1.32,37.42
2016-12-31,38.71,$1.50,25.86
2016-09-30,33.62,$1.09,30.86
2016-06-30,34.01,$0.85,39.84
2016-03-31,24.94,$0.67,37.36
2015-12-31,23.27,$0.25,92.61
2015-09-30,23.69,$0.38,62.3
2015-06-30,22.94,$0.39,58.43
2015-03-31,20.4,$0.31,65.39
2014-12-31,16.7,$0.47,35.63
