Foghorn Therapeutics Price to Free Cash Flow Ratio Historical Data,Foghorn Therapeutics Price to Free Cash Flow Ratio Historical Data,Foghorn Therapeutics Price to Free Cash Flow Ratio Historical Data,Foghorn Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.12,,0.0
2024-12-31,4.72,$-1.85,0.0
2024-09-30,9.31,$-1.88,0.0
2024-06-30,5.75,$-2.37,0.0
2024-03-31,6.71,$-2.78,0.0
2023-12-31,6.45,$-2.84,0.0
2023-09-30,5.0,$-2.87,0.0
2023-06-30,7.04,$-2.74,0.0
2023-03-31,6.2,$-2.69,0.0
2022-12-31,6.38,$4.63,1.38
2022-09-30,8.58,$5.64,1.52
2022-06-30,13.6,$5.60,2.43
2022-03-31,15.23,$5.79,2.63
2021-12-31,22.87,$-1.44,0.0
2021-09-30,13.93,$-6.04,0.0
