Lulu's Fashion Lounge Holdings Price to Free Cash Flow Ratio Historical Data,Lulu's Fashion Lounge Holdings Price to Free Cash Flow Ratio Historical Data,Lulu's Fashion Lounge Holdings Price to Free Cash Flow Ratio Historical Data,Lulu's Fashion Lounge Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.53,,0.0
2024-09-30,1.6,$-0.10,0.0
2024-06-30,1.85,$0.34,5.45
2024-03-31,1.4,$0.37,3.76
2023-12-31,1.86,$0.29,6.46
2023-09-30,2.01,$0.16,12.52
2023-06-30,2.53,$-0.01,0.0
2023-03-31,2.38,$-0.39,0.0
2022-12-31,2.51,$0.03,82.03
2022-09-30,4.66,$1.51,3.1
