EVERSPIN TECH Price to Free Cash Flow Ratio Historical Data,EVERSPIN TECH Price to Free Cash Flow Ratio Historical Data,EVERSPIN TECH Price to Free Cash Flow Ratio Historical Data,EVERSPIN TECH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.2,,28.45
2024-12-31,6.39,$0.18,34.96
2024-09-30,5.9,$0.18,32.81
2024-06-30,5.99,$0.21,28.98
2024-03-31,7.92,$0.42,18.73
2023-12-31,9.04,$0.55,16.45
2023-09-30,9.83,$0.64,15.39
2023-06-30,9.21,$0.51,17.96
2023-03-31,6.81,$0.39,17.47
2022-12-31,5.56,$0.33,16.72
2022-09-30,5.79,$0.45,12.83
2022-06-30,5.24,$0.52,10.17
2022-03-31,8.71,$0.30,29.15
2021-12-31,11.3,$0.42,27.1
2021-09-30,6.48,$0.15,43.58
2021-06-30,6.43,$0.09,69.29
2021-03-31,6.0,$0.04,140.52
2020-12-31,4.6,$-0.17,0.0
2020-09-30,5.67,$-0.37,0.0
2020-06-30,7.02,$-0.45,0.0
2020-03-31,2.62,$-0.47,0.0
2019-12-31,5.26,$-0.52,0.0
2019-09-30,6.13,$-0.87,0.0
2019-06-30,6.52,$-1.03,0.0
2019-03-31,7.66,$-0.94,0.0
2018-12-31,5.61,$-1.01,0.0
2018-09-30,7.68,$-0.93,0.0
2018-06-30,8.92,$-1.00,0.0
2018-03-31,7.55,$-1.66,0.0
2017-12-31,7.5,$-1.76,0.0
2017-09-30,17.09,$-5.46,0.0
