Perfect Price to Free Cash Flow Ratio Historical Data,Perfect Price to Free Cash Flow Ratio Historical Data,Perfect Price to Free Cash Flow Ratio Historical Data,Perfect Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.87,,15.87
2024-09-30,1.92,$0.12,16.3
2024-06-30,2.02,$0.11,18.93
2024-03-31,2.48,$0.11,22.02
2023-12-31,3.1,$0.11,27.53
2023-09-30,3.28,$0.04,90.11
2023-06-30,4.83,$0.01,0.0
2023-03-31,5.98,$-0.05,0.0
2022-12-31,7.14,$-0.05,0.0
2022-09-30,9.98,$0.21,48.38
2022-06-30,9.85,$0.19,51.87
2022-03-31,9.86,$0.18,55.71
2021-12-31,9.85,$0.03,374.52
