SEACOR Marine Holdings Price to Free Cash Flow Ratio Historical Data,SEACOR Marine Holdings Price to Free Cash Flow Ratio Historical Data,SEACOR Marine Holdings Price to Free Cash Flow Ratio Historical Data,SEACOR Marine Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.42,,20.53
2024-12-31,6.56,$0.26,24.85
2024-09-30,9.65,$0.42,22.8
2024-06-30,13.49,$0.35,38.97
2024-03-31,13.94,$0.96,14.56
2023-12-31,12.59,$1.59,7.92
2023-09-30,13.88,$0.31,44.29
2023-06-30,11.43,$0.03,392.78
2023-03-31,7.61,$-0.31,0.0
2022-12-31,9.16,$-0.31,0.0
2022-09-30,5.62,$-0.05,0.0
2022-06-30,5.76,$0.06,100.7
2022-03-31,8.07,$1.63,4.97
2021-12-31,3.4,$1.27,2.68
2021-09-30,4.63,$0.92,5.02
2021-06-30,4.41,$1.01,4.36
2021-03-31,5.33,$-0.62,0.0
2020-12-31,2.71,$-1.20,0.0
2020-09-30,2.03,$1.97,1.03
2020-06-30,2.55,$2.12,1.2
2020-03-31,4.38,$2.08,2.1
2019-12-31,13.79,$1.68,8.19
2019-09-30,12.57,$-1.45,0.0
2019-06-30,14.96,$-3.43,0.0
2019-03-31,13.31,$-4.19,0.0
2018-12-31,11.76,$-4.23,0.0
2018-09-30,22.63,$-4.90,0.0
2018-06-30,23.09,$-5.30,0.0
2018-03-31,19.02,$-2.30,0.0
