PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data,PC Connection Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,62.19,,9.91
2024-12-31,69.27,$6.27,11.04
2024-09-30,75.33,$5.79,13.0
2024-06-30,64.02,$5.65,11.33
2024-03-31,65.64,$8.56,7.67
2023-12-31,66.82,$7.13,9.38
2023-09-30,53.0,$7.39,7.17
2023-06-30,44.71,$6.42,6.96
2023-03-31,44.48,$3.19,13.96
2022-12-31,46.32,$0.98,47.45
2022-09-30,44.25,$2.07,21.42
2022-06-30,43.23,$0.28,154.46
2022-03-31,51.42,$0.12,412.01
2021-12-31,42.33,$1.80,23.48
2021-09-30,42.3,$-0.38,0.0
2021-06-30,44.46,$-1.60,0.0
2021-03-31,44.57,$-0.43,0.0
2020-12-31,45.15,$0.95,47.44
2020-09-30,39.2,$1.08,36.34
2020-06-30,44.26,$4.40,10.07
2020-03-31,39.34,$1.49,26.39
2019-12-31,47.41,$0.41,114.79
2019-09-30,36.91,$0.74,50.1
2019-06-30,33.19,$0.87,38.28
2019-03-31,34.79,$1.68,20.71
2018-12-31,28.21,$2.44,11.55
2018-09-30,36.49,$1.96,18.62
2018-06-30,31.15,$1.99,15.67
2018-03-31,23.46,$0.59,40.02
2017-12-31,24.59,$0.28,87.99
2017-09-30,26.12,$0.41,63.63
2017-06-30,25.07,$-0.14,0.0
2017-03-31,27.6,$0.90,30.62
2016-12-31,26.02,$0.81,32.04
2016-09-30,24.18,$1.28,18.82
2016-06-30,21.78,$0.71,30.53
2016-03-31,23.62,$0.79,30.06
2015-12-31,20.72,$0.70,29.77
2015-09-30,18.64,$0.74,25.19
2015-06-30,22.24,$0.80,27.95
2015-03-31,23.46,$0.92,25.55
2014-12-31,22.07,$1.05,21.05
2014-09-30,18.97,$-0.04,0.0
2014-06-30,18.27,$0.25,72.77
2014-03-31,17.95,$0.64,27.99
2013-12-31,21.96,$0.46,48.07
2013-09-30,13.1,$1.53,8.58
2013-06-30,13.42,$0.61,21.89
2013-03-31,14.2,$0.96,14.76
2012-12-31,9.99,$2.27,4.39
2012-09-30,9.65,$1.00,9.62
2012-06-30,8.9,$0.92,9.63
2012-03-31,6.89,$0.37,18.87
2011-12-31,9.3,$-0.60,0.0
2011-09-30,6.45,$0.31,21.04
2011-06-30,6.69,$0.51,13.21
2011-03-31,7.16,$0.25,28.28
2010-12-31,7.16,$-0.27,0.0
2010-09-30,5.52,$-0.76,0.0
2010-06-30,4.9,$-0.55,0.0
2010-03-31,5.01,$-0.30,0.0
2009-12-31,5.46,$0.01,0.0
