Consolidated Water Price to Free Cash Flow Ratio Historical Data,Consolidated Water Price to Free Cash Flow Ratio Historical Data,Consolidated Water Price to Free Cash Flow Ratio Historical Data,Consolidated Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.6,,13.53
2024-09-30,25.1,$2.04,12.31
2024-06-30,26.33,$1.64,16.03
2024-03-31,29.07,$0.27,106.11
2023-12-31,35.2,$0.19,189.75
2023-09-30,28.04,$0.33,83.79
2023-06-30,23.81,$0.28,86.1
2023-03-31,16.09,$0.90,17.94
2022-12-31,14.42,$0.90,16.04
2022-09-30,14.9,$0.96,15.45
2022-06-30,13.97,$1.06,13.15
2022-03-31,10.59,$0.56,18.94
2021-12-31,10.11,$0.36,28.04
2021-09-30,10.75,$0.67,16.04
2021-06-30,10.98,$0.86,12.76
2021-03-31,12.5,$1.13,11.03
2020-12-31,11.13,$1.03,10.85
2020-09-30,9.55,$0.83,11.47
2020-06-30,13.13,$0.53,24.58
2020-03-31,14.83,$0.59,25.12
2019-12-31,14.66,$0.80,18.29
2019-09-30,14.76,$0.63,23.4
2019-06-30,12.7,$0.72,17.7
2019-03-31,11.39,$-0.17,0.0
2018-12-31,10.25,$-0.47,0.0
2018-09-30,12.18,$-0.54,0.0
2018-06-30,11.27,$-0.55,0.0
2018-03-31,12.63,$0.73,17.39
2017-12-31,10.8,$0.71,15.3
2017-09-30,10.97,$0.86,12.77
2017-06-30,10.57,$0.74,14.26
2017-03-31,9.87,$0.25,39.32
2016-12-31,9.13,$0.33,27.8
2016-09-30,9.71,$0.50,19.27
2016-06-30,10.85,$0.63,17.12
2016-03-31,10.05,$0.73,13.7
2015-12-31,10.04,$0.96,10.48
2015-09-30,9.46,$0.84,11.28
2015-06-30,10.21,$0.67,15.13
2015-03-31,8.28,$1.31,6.3
2014-12-31,8.54,$0.99,8.65
2014-09-30,9.28,$0.67,13.92
2014-06-30,9.29,$0.80,11.64
2014-03-31,10.33,$0.02,633.98
2013-12-31,10.99,$0.35,31.82
2013-09-30,11.61,$0.56,20.78
2013-06-30,8.82,$0.55,16.01
2013-03-31,7.59,$0.83,9.19
2012-12-31,5.63,$0.48,11.77
2012-09-30,6.23,$-0.31,0.0
2012-06-30,6.19,$-0.52,0.0
2012-03-31,5.85,$-0.74,0.0
2011-12-31,6.28,$-0.38,0.0
2011-09-30,5.72,$0.34,16.85
2011-06-30,6.68,$0.53,12.54
2011-03-31,7.78,$0.20,38.31
2010-12-31,6.5,$0.33,19.63
2010-09-30,6.67,$0.63,10.67
2010-06-30,7.94,$0.58,13.65
2010-03-31,9.37,$1.17,8.04
2009-12-31,9.86,$0.86,11.47
