NeuroMetrix Price to Free Cash Flow Ratio Historical Data,NeuroMetrix Price to Free Cash Flow Ratio Historical Data,NeuroMetrix Price to Free Cash Flow Ratio Historical Data,NeuroMetrix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.58,,0.0
2024-09-30,3.97,$-4.12,0.0
2024-06-30,3.69,$-5.13,0.0
2024-03-31,4.25,$-6.00,0.0
2023-12-31,3.6,$-6.02,0.0
2023-09-30,5.73,$-6.08,0.0
2023-06-30,7.8,$-6.76,0.0
2023-03-31,11.76,$-6.27,0.0
2022-12-31,11.92,$-5.97,0.0
2022-09-30,22.32,$-5.50,0.0
2022-06-30,29.44,$-4.02,0.0
2022-03-31,33.28,$-4.20,0.0
2021-12-31,40.16,$-3.45,0.0
2021-09-30,81.12,$-2.84,0.0
2021-06-30,27.28,$-1.85,0.0
2021-03-31,27.28,$-1.41,0.0
2020-12-31,25.28,$-5.49,0.0
2020-09-30,13.6,$-5.84,0.0
2020-06-30,16.4,$-19.04,0.0
2020-03-31,9.09,$-36.92,0.0
2019-12-31,34.4,$-30.33,0.0
2019-09-30,25.6,$-33.74,0.0
2019-06-30,32.8,$-18.15,0.0
2019-03-31,88.0,$6.09,14.45
2018-12-31,60.8,$15.66,3.88
2018-09-30,106.4,$-207.38,0.0
2018-06-30,104.8,$-176.43,0.0
2018-03-31,112.8,$-322.54,0.0
2017-12-31,138.32,$-602.56,0.0
2017-09-30,163.2,$-964.84,0.0
2017-06-30,215.2,"$-1,314.86",0.0
2017-03-31,396.8,"$-1,731.32",0.0
2016-12-31,472.7,"$-2,033.83",0.0
2016-09-30,998.4,"$-2,512.13",0.0
2016-06-30,1062.4,"$-2,485.98",0.0
2016-03-31,1171.2,"$-2,921.48",0.0
2015-12-31,1267.2,"$-3,223.07",0.0
2015-09-30,2259.2,"$-3,288.10",0.0
2015-06-30,2328.06,"$-3,289.98",0.0
2015-03-31,4300.8,"$-3,078.34",0.0
2014-12-31,4992.0,"$-2,902.05",0.0
2014-09-30,4608.0,"$-1,776.44",0.0
2014-06-30,4966.4,"$-1,484.33",0.0
2014-03-31,5990.4,$-704.30,0.0
2013-12-31,7475.2,$-9.28,0.0
2013-09-30,4224.0,$-3.45,0.0
2013-06-30,5120.0,$-4.22,0.0
2013-03-31,6323.2,$-3.80,0.0
2012-12-31,6643.2,$-4.84,0.0
2012-09-30,9369.6,$-12.67,0.0
2012-06-30,9523.2,$-12.03,0.0
2012-03-31,11366.4,$-12.12,0.0
2011-12-31,19200.0,$-10.73,0.0
2011-09-30,26880.0,$-19.67,0.0
2011-06-30,37334.02,$-21.82,0.0
2011-03-31,47923.2,$-21.57,0.0
2010-12-31,62659.58,$-21.29,0.0
2010-09-30,55249.92,$-5.05,0.0
2010-06-30,105117.7,$-2.41,0.0
2010-03-31,176025.6,$-2.26,0.0
2009-12-31,227635.2,$-2.32,0.0
