Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.11,,12.54
2024-12-31,28.3,$2.24,12.63
2024-09-30,26.92,$2.45,11.01
2024-06-30,23.63,$2.31,10.23
2024-03-31,24.06,$1.99,12.11
2023-12-31,24.61,$1.83,13.44
2023-09-30,20.18,$2.05,9.84
2023-06-30,21.79,$2.41,9.03
2023-03-31,20.57,$2.11,9.76
2022-12-31,21.43,$2.07,10.34
2022-09-30,21.04,$1.81,11.63
2022-06-30,19.29,$1.52,12.71
2022-03-31,20.82,$2.12,9.83
2021-12-31,22.28,$2.30,9.69
2021-09-30,21.41,$2.33,9.2
2021-06-30,22.32,$2.19,10.21
2021-03-31,24.34,$1.76,13.84
2020-12-31,17.42,$1.69,10.28
2020-09-30,13.46,$1.47,9.18
2020-06-30,13.56,$1.46,9.28
2020-03-31,10.46,$1.58,6.62
2019-12-31,17.04,$1.39,12.3
2019-09-30,16.18,$1.33,12.17
2019-06-30,16.46,$1.48,11.11
2019-03-31,14.91,$1.65,9.06
2018-12-31,13.78,$1.70,8.11
2018-09-30,18.36,$1.82,10.07
2018-06-30,18.82,$1.23,15.34
2018-03-31,18.94,$1.00,19.01
2017-12-31,19.21,$0.89,21.58
2017-09-30,20.73,$0.59,35.1
2017-06-30,20.38,$1.10,18.53
2017-03-31,22.08,$1.10,20.11
2016-12-31,22.57,$1.23,18.4
2016-09-30,16.85,$1.65,10.25
2016-06-30,15.96,$1.35,11.78
2016-03-31,16.44,$1.44,11.41
2015-12-31,16.21,$1.42,11.43
2015-09-30,16.15,$1.39,11.62
2015-06-30,14.52,$1.53,9.5
2015-03-31,13.41,$1.79,7.51
2014-12-31,12.68,$1.85,6.86
2014-09-30,11.56,$1.24,9.3
2014-06-30,12.86,$1.19,10.83
2014-03-31,13.45,$1.02,13.19
2013-12-31,14.56,$0.86,16.91
2013-09-30,11.82,$1.09,10.89
2013-06-30,10.07,$1.26,8.03
2013-03-31,7.28,$1.01,7.21
2012-12-31,6.36,$0.92,6.91
2012-09-30,6.51,$1.12,5.8
2012-06-30,5.82,$0.68,8.5
2012-03-31,5.05,$0.78,6.45
2011-12-31,4.89,$0.70,7.03
2011-09-30,3.99,$0.51,7.9
2011-06-30,4.43,$0.52,8.6
2011-03-31,4.26,$0.48,8.91
2010-12-31,4.11,$0.35,11.71
2010-09-30,3.78,$0.26,14.84
2010-06-30,4.24,$0.42,9.98
2010-03-31,4.46,$0.37,12.07
2009-12-31,4.05,$0.34,11.84
