Bank7 Price to Free Cash Flow Ratio Historical Data,Bank7 Price to Free Cash Flow Ratio Historical Data,Bank7 Price to Free Cash Flow Ratio Historical Data,Bank7 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.06,,7.23
2024-12-31,46.66,$5.41,8.63
2024-09-30,37.47,$5.85,6.41
2024-06-30,31.1,$5.89,5.28
2024-03-31,27.83,$5.69,4.89
2023-12-31,26.79,$5.01,5.35
2023-09-30,21.88,$4.34,5.03
2023-06-30,23.63,$3.56,6.64
2023-03-31,23.49,$4.45,5.27
2022-12-31,24.34,$4.65,5.24
2022-09-30,20.96,$4.34,4.83
2022-06-30,21.47,$4.39,4.9
2022-03-31,22.07,$3.88,5.69
2021-12-31,21.4,$3.25,6.58
2021-09-30,19.83,$3.18,6.22
2021-06-30,15.88,$2.88,5.52
2021-03-31,16.11,$2.83,5.69
2020-12-31,12.91,$2.65,4.88
2020-09-30,8.48,$2.27,3.73
2020-06-30,9.69,$2.50,3.88
2020-03-31,7.02,$1.81,3.88
2019-12-31,16.55,$1.62,10.19
2019-09-30,15.99,$1.89,8.48
2019-06-30,15.64,$4.18,3.74
