Heritage Commerce Corp Price to Free Cash Flow Ratio Historical Data,Heritage Commerce Corp Price to Free Cash Flow Ratio Historical Data,Heritage Commerce Corp Price to Free Cash Flow Ratio Historical Data,Heritage Commerce Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.57,,15.77
2024-12-31,9.38,$0.61,15.45
2024-09-30,9.76,$0.27,35.85
2024-06-30,8.48,$0.45,18.75
2024-03-31,8.23,$0.79,10.43
2023-12-31,9.37,$1.16,8.05
2023-09-30,7.88,$1.69,4.68
2023-06-30,7.6,$1.69,4.5
2023-03-31,7.5,$1.35,5.58
2022-12-31,11.59,$1.13,10.25
2022-09-30,10.02,$0.97,10.27
2022-06-30,9.34,$1.01,9.22
2022-03-31,9.72,$1.03,9.39
2021-12-31,10.2,$0.93,10.94
2021-09-30,9.83,$1.01,9.76
2021-06-30,9.3,$0.86,10.85
2021-03-31,10.1,$0.94,10.77
2020-12-31,7.23,$0.91,7.92
2020-09-30,5.33,$0.84,6.31
2020-06-30,5.9,$1.05,5.61
2020-03-31,5.93,$0.89,6.63
2019-12-31,9.81,$1.05,9.37
2019-09-30,8.9,$1.14,7.84
2019-06-30,9.27,$1.15,8.05
2019-03-31,9.16,$1.12,8.15
2018-12-31,8.51,$1.15,7.42
2018-09-30,11.11,$1.08,10.28
2018-06-30,12.56,$1.01,12.38
2018-03-31,12.1,$1.06,11.45
2017-12-31,11.17,$1.05,10.6
2017-09-30,10.31,$0.95,10.83
2017-06-30,9.91,$0.72,13.8
2017-03-31,10.07,$0.82,12.35
2016-12-31,10.23,$0.74,13.75
2016-09-30,7.69,$0.91,8.48
2016-06-30,7.35,$1.09,6.73
2016-03-31,6.92,$1.14,6.06
2015-12-31,8.19,$0.95,8.58
2015-09-30,7.71,$0.86,9.0
2015-06-30,6.49,$0.68,9.53
2015-03-31,6.11,$0.56,10.84
2014-12-31,5.85,$0.70,8.36
2014-09-30,5.41,$0.73,7.39
2014-06-30,5.35,$0.82,6.53
2014-03-31,5.25,$0.68,7.76
2013-12-31,5.34,$0.63,8.49
2013-09-30,4.94,$0.55,9.06
2013-06-30,4.5,$0.55,8.25
2013-03-31,4.33,$0.87,4.98
2012-12-31,4.49,$0.68,6.58
2012-09-30,4.46,$0.95,4.72
2012-06-30,4.18,$0.97,4.31
2012-03-31,4.14,$0.84,4.91
2011-12-31,3.05,$0.94,3.24
2011-09-30,2.48,$1.63,1.52
2011-06-30,3.29,$1.80,1.83
2011-03-31,2.99,$1.87,1.6
2010-12-31,2.89,$1.75,1.66
2010-09-30,2.25,$1.36,1.66
2010-06-30,2.36,$0.10,24.46
2010-03-31,2.69,$0.15,17.66
2009-12-31,2.59,$0.16,16.42
