Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data,Wells Fargo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.52,,82.86
2024-12-31,70.24,$0.88,80.26
2024-09-30,56.17,$3.11,18.03
2024-06-30,58.61,$6.17,9.5
2024-03-31,56.87,$5.54,10.27
2023-12-31,47.95,$10.85,4.42
2023-09-30,39.47,$7.89,5.0
2023-06-30,40.91,$6.80,6.02
2023-03-31,35.54,$8.94,3.98
2022-12-31,39.01,$7.05,5.53
2022-09-30,37.75,$6.36,5.94
2022-06-30,36.51,$2.00,18.25
2022-03-31,44.91,$-1.93,0.0
2021-12-31,44.27,$-2.81,0.0
2021-09-30,42.65,$-9.50,0.0
2021-06-30,41.44,$-10.41,0.0
2021-03-31,35.68,$-4.51,0.0
2020-12-31,27.47,$0.50,55.38
2020-09-30,21.31,$8.82,2.41
2020-06-30,23.11,$8.03,2.88
2020-03-31,25.39,$3.96,6.41
2019-12-31,47.1,$1.52,30.97
2019-09-30,43.74,$1.80,24.35
2019-06-30,40.59,$6.14,6.61
2019-03-31,41.05,$6.10,6.73
2018-12-31,38.79,$7.46,5.2
2018-09-30,43.89,$4.40,9.97
2018-06-30,45.96,$4.90,9.39
2018-03-31,43.12,$4.21,10.25
2017-12-31,49.62,$3.71,13.37
2017-09-30,44.8,$4.62,9.7
2017-06-30,44.68,$2.22,20.09
2017-03-31,44.58,$1.64,27.22
2016-12-31,43.84,$0.20,222.19
2016-09-30,34.93,$-1.51,0.0
2016-06-30,37.04,$2.61,14.19
2016-03-31,37.55,$3.72,10.08
2015-12-31,41.88,$3.05,13.72
2015-09-30,39.29,$4.34,9.05
2015-06-30,42.76,$3.53,12.11
2015-03-31,41.08,$3.24,12.67
2014-12-31,41.12,$3.29,12.49
2014-09-30,38.66,$5.46,7.08
2014-06-30,38.9,$6.55,5.94
2014-03-31,36.55,$9.56,3.83
2013-12-31,33.14,$10.73,3.09
2013-09-30,29.95,$9.60,3.12
2013-06-30,29.71,$8.46,3.51
2013-03-31,26.42,$9.67,2.73
2012-12-31,24.24,$10.94,2.22
2012-09-30,24.33,$4.83,5.03
2012-06-30,23.41,$3.80,6.16
2012-03-31,23.74,$2.32,10.24
2011-12-31,19.03,$2.57,7.41
2011-09-30,16.58,$6.35,2.61
2011-06-30,19.2,$5.72,3.36
2011-03-31,21.61,$5.09,4.24
2010-12-31,21.04,$3.57,5.9
2010-09-30,17.02,$5.23,3.25
2010-06-30,17.32,$5.51,3.14
2010-03-31,21.02,$4.23,4.96
2009-12-31,18.2,$6.27,2.9
