KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data,KLA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,716.46,,28.77
2024-12-31,630.12,$24.90,25.3
2024-09-30,772.29,$23.28,33.18
2024-06-30,820.83,$22.29,36.82
2024-03-31,694.08,$22.30,31.13
2023-12-31,576.28,$23.05,25.0
2023-09-30,453.49,$23.19,19.56
2023-06-30,478.29,$24.27,19.71
2023-03-31,392.31,$23.27,16.86
2022-12-31,369.34,$21.15,17.46
2022-09-30,295.44,$21.86,13.51
2022-06-30,310.44,$20.01,15.51
2022-03-31,355.04,$17.57,20.21
2021-12-31,415.98,$16.63,25.01
2021-09-30,322.7,$14.95,21.59
2021-06-30,311.77,$12.69,24.57
2021-03-31,316.79,$12.63,25.09
2020-12-31,247.56,$11.32,21.88
2020-09-30,184.54,$10.32,17.88
2020-06-30,184.46,$10.29,17.92
2020-03-31,135.65,$9.46,14.34
2019-12-31,167.29,$7.63,21.92
2019-09-30,149.0,$7.11,20.96
2019-06-30,109.82,$6.51,16.86
2019-03-31,110.19,$7.01,15.72
2018-12-31,82.01,$8.39,9.78
2018-09-30,92.47,$7.42,12.47
2018-06-30,92.62,$7.38,12.54
2018-03-31,97.82,$8.04,12.17
2017-12-31,93.77,$7.26,12.91
2017-09-30,94.06,$7.88,11.94
2017-06-30,80.67,$6.63,12.17
2017-03-31,83.36,$5.98,13.95
2016-12-31,68.57,$5.29,12.97
2016-09-30,60.31,$4.53,13.32
2016-06-30,62.89,$4.69,13.41
2016-03-31,62.04,$4.34,14.3
2015-12-31,58.61,$5.10,11.5
2015-09-30,41.92,$4.47,9.37
2015-06-30,46.66,$3.42,13.64
2015-03-31,47.98,$2.97,16.16
2014-12-31,57.44,$2.85,20.15
2014-09-30,51.36,$3.46,14.84
2014-06-30,47.04,$4.25,11.06
2014-03-31,44.45,$3.76,11.83
2013-12-31,41.15,$4.79,8.59
2013-09-30,38.57,$4.56,8.46
2013-06-30,35.06,$4.97,7.06
2013-03-31,32.93,$5.55,5.93
2012-12-31,29.61,$4.65,6.36
2012-09-30,29.31,$5.32,5.51
2012-06-30,30.03,$5.21,5.77
2012-03-31,32.96,$5.33,6.18
2011-12-31,29.02,$5.21,5.57
2011-09-30,22.85,$5.36,4.26
2011-06-30,23.93,$4.64,5.16
2011-03-31,27.82,$3.46,8.04
2010-12-31,22.6,$2.81,8.03
2010-09-30,20.47,$2.54,8.06
2010-06-30,16.06,$2.45,6.56
2010-03-31,17.73,$2.41,7.34
2009-12-31,20.63,$2.46,8.38
