Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.96,,8.7
2024-12-31,17.52,$1.72,10.19
2024-09-30,17.6,$1.62,10.84
2024-06-30,17.78,$1.51,11.8
2024-03-31,20.22,$1.51,13.41
2023-12-31,18.86,$1.44,13.13
2023-09-30,15.22,$1.57,9.7
2023-06-30,15.76,$1.73,9.13
2023-03-31,15.31,$1.96,7.8
2022-12-31,14.79,$2.03,7.29
2022-09-30,14.34,$2.48,5.79
2022-06-30,14.05,$2.15,6.52
2022-03-31,17.35,$1.36,12.75
2021-12-31,15.5,$0.84,18.54
2021-09-30,14.56,$0.01,0.0
2021-06-30,15.23,$-0.74,0.0
2021-03-31,15.02,$-0.89,0.0
2020-12-31,13.04,$-0.74,0.0
2020-09-30,9.62,$-0.14,0.0
2020-06-30,9.62,$1.40,6.88
2020-03-31,9.84,$2.11,4.66
2019-12-31,16.25,$2.58,6.31
2019-09-30,14.95,$2.73,5.48
2019-06-30,15.57,$3.22,4.83
2019-03-31,15.97,$3.36,4.75
2018-12-31,13.94,$3.28,4.25
2018-09-30,17.38,$2.92,5.96
2018-06-30,17.2,$2.10,8.2
2018-03-31,15.07,$1.95,7.74
2017-12-31,15.88,$1.94,8.18
2017-09-30,14.61,$1.65,8.87
2017-06-30,14.28,$1.43,10.0
2017-03-31,14.43,$1.77,8.16
2016-12-31,14.41,$1.68,8.59
2016-09-30,11.75,$1.90,6.18
2016-06-30,12.08,$1.73,6.99
2016-03-31,12.28,$1.32,9.28
2015-12-31,11.15,$1.03,10.8
2015-09-30,11.35,$1.25,9.09
2015-06-30,14.05,$1.24,11.31
2015-03-31,14.16,$1.10,12.81
2014-12-31,16.51,$1.54,10.75
2014-09-30,14.66,$1.54,9.54
2014-06-30,14.99,$1.57,9.57
2014-03-31,13.69,$1.63,8.38
2013-12-31,13.05,$1.61,8.12
2013-09-30,11.79,$1.09,10.84
2013-06-30,11.18,$1.18,9.43
2013-03-31,11.51,$0.86,13.45
2012-12-31,10.25,$0.44,23.31
2012-09-30,10.44,$0.35,30.01
2012-06-30,10.24,$0.31,33.42
2012-03-31,10.58,$0.35,30.18
2011-12-31,9.48,$0.24,39.6
2011-09-30,7.0,$0.34,20.63
2011-06-30,10.81,$0.19,56.02
2011-03-31,11.21,$0.24,45.85
2010-12-31,11.36,$0.33,33.93
2010-09-30,9.2,$0.39,23.66
2010-06-30,8.56,$0.52,16.49
2010-03-31,9.29,$0.43,21.71
2009-12-31,7.4,$0.65,11.45
