American Realty Investors Price to Free Cash Flow Ratio Historical Data,American Realty Investors Price to Free Cash Flow Ratio Historical Data,American Realty Investors Price to Free Cash Flow Ratio Historical Data,American Realty Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.91,,0.0
2024-09-30,17.54,$-3.81,0.0
2024-06-30,14.2,$-2.88,0.0
2024-03-31,17.92,$-2.91,0.0
2023-12-31,17.41,$-3.05,0.0
2023-09-30,14.62,$-2.92,0.0
2023-06-30,21.78,$-3.07,0.0
2023-03-31,26.32,$-2.57,0.0
2022-12-31,25.65,$-1.21,0.0
2022-09-30,15.92,$1.52,10.45
2022-06-30,14.19,$5.22,2.72
2022-03-31,15.37,$5.94,2.59
2021-12-31,12.65,$5.32,2.38
2021-09-30,13.14,$7.13,1.84
2021-06-30,9.31,$3.40,2.74
2021-03-31,8.83,$3.16,2.8
2020-12-31,10.9,$1.68,6.48
2020-09-30,9.07,$-1.84,0.0
2020-06-30,8.99,$-2.30,0.0
2020-03-31,9.24,$-2.70,0.0
2019-12-31,17.13,$-3.07,0.0
2019-09-30,15.38,$2.38,6.47
2019-06-30,13.64,$0.17,82.47
2019-03-31,12.1,$-1.51,0.0
2018-12-31,12.07,$-0.87,0.0
2018-09-30,16.92,$-8.36,0.0
2018-06-30,15.81,$-8.44,0.0
2018-03-31,19.38,$-7.77,0.0
2017-12-31,12.85,$-8.66,0.0
2017-09-30,8.65,$-5.84,0.0
2017-06-30,8.52,$-4.94,0.0
2017-03-31,8.04,$-4.16,0.0
2016-12-31,5.17,$-3.29,0.0
2016-09-30,7.81,$-2.72,0.0
2016-06-30,6.78,$-4.46,0.0
2016-03-31,5.14,$-13.55,0.0
2015-12-31,5.62,$-10.94,0.0
2015-09-30,7.0,$-11.06,0.0
2015-06-30,4.85,$-9.63,0.0
2015-03-31,5.39,$1.74,3.11
2014-12-31,5.46,$0.61,9.02
2014-09-30,5.36,$14.94,0.36
2014-06-30,6.76,$16.58,0.41
2014-03-31,9.46,$18.59,0.51
2013-12-31,5.25,$19.30,0.27
2013-09-30,4.58,$6.35,0.72
2013-06-30,5.02,$6.33,0.79
2013-03-31,4.12,$6.77,0.61
2012-12-31,2.73,$4.10,0.67
2012-09-30,3.36,$-12.53,0.0
2012-06-30,1.95,$-0.88,0.0
2012-03-31,1.7,$-0.26,0.0
2011-12-31,1.87,$2.57,0.73
2011-09-30,1.62,$14.82,0.11
2011-06-30,2.61,$12.61,0.21
2011-03-31,3.08,$10.38,0.3
2010-12-31,7.95,$8.56,0.93
2010-09-30,8.12,$13.89,0.58
2010-06-30,8.1,$3.35,2.42
2010-03-31,10.75,$-0.10,0.0
2009-12-31,12.25,$-0.35,0.0
