Kimball Electronics Price to Free Cash Flow Ratio Historical Data,Kimball Electronics Price to Free Cash Flow Ratio Historical Data,Kimball Electronics Price to Free Cash Flow Ratio Historical Data,Kimball Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.04,,3.45
2024-12-31,18.73,$4.94,3.79
2024-09-30,18.51,$2.27,8.15
2024-06-30,21.98,$1.06,20.83
2024-03-31,21.65,$0.29,74.02
2023-12-31,26.95,$-1.28,0.0
2023-09-30,27.38,$-0.91,0.0
2023-06-30,27.63,$-4.15,0.0
2023-03-31,24.1,$-5.88,0.0
2022-12-31,22.59,$-7.47,0.0
2022-09-30,17.15,$-8.60,0.0
2022-06-30,20.1,$-6.24,0.0
2022-03-31,19.99,$-4.91,0.0
2021-12-31,21.76,$-2.01,0.0
2021-09-30,25.77,$2.29,11.23
2021-06-30,21.74,$3.61,6.02
2021-03-31,25.8,$3.61,7.14
2020-12-31,15.99,$2.96,5.4
2020-09-30,11.56,$0.74,15.55
2020-06-30,13.54,$1.35,10.06
2020-03-31,10.92,$1.08,10.14
2019-12-31,17.55,$-0.02,0.0
2019-09-30,14.51,$0.43,33.53
2019-06-30,16.24,$-1.21,0.0
2019-03-31,15.49,$-0.80,0.0
2018-12-31,15.49,$0.14,114.66
2018-09-30,19.65,$0.20,100.0
2018-06-30,18.3,$0.52,35.45
2018-03-31,16.15,$0.11,147.62
2017-12-31,18.25,$0.11,168.36
2017-09-30,21.65,$0.10,211.84
2017-06-30,18.05,$0.47,38.31
2017-03-31,16.95,$0.40,42.05
2016-12-31,18.2,$0.42,43.0
2016-09-30,13.86,$0.62,22.44
2016-06-30,12.45,$0.08,150.73
2016-03-31,11.17,$0.11,104.78
2015-12-31,10.99,$0.06,199.46
2015-09-30,11.93,$-0.69,0.0
