Fathom Holdings Price to Free Cash Flow Ratio Historical Data,Fathom Holdings Price to Free Cash Flow Ratio Historical Data,Fathom Holdings Price to Free Cash Flow Ratio Historical Data,Fathom Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.93,,0.0
2024-09-30,2.59,$-0.48,0.0
2024-06-30,1.72,$-0.56,0.0
2024-03-31,1.99,$-0.60,0.0
2023-12-31,3.59,$-0.65,0.0
2023-09-30,4.08,$-0.39,0.0
2023-06-30,7.14,$-0.74,0.0
2023-03-31,4.25,$-0.65,0.0
2022-12-31,4.25,$-0.47,0.0
2022-09-30,5.3,$-0.85,0.0
2022-06-30,7.84,$-0.68,0.0
2022-03-31,10.7,$-0.70,0.0
2021-12-31,20.46,$-0.88,0.0
2021-09-30,26.7,$-0.58,0.0
2021-06-30,32.79,$-0.34,0.0
