Canopy Growth Price to Free Cash Flow Ratio Historical Data,Canopy Growth Price to Free Cash Flow Ratio Historical Data,Canopy Growth Price to Free Cash Flow Ratio Historical Data,Canopy Growth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.13,,0.0
2024-12-31,2.74,$-1.21,0.0
2024-09-30,4.82,$-1.40,0.0
2024-06-30,6.45,$-0.86,0.0
2024-03-31,8.63,$-1.30,0.0
2023-12-31,5.11,$-3.73,0.0
2023-09-30,7.83,$-5.49,0.0
2023-06-30,3.88,$-7.13,0.0
2023-03-31,17.5,$-9.02,0.0
2022-12-31,23.1,$-8.92,0.0
2022-09-30,27.3,$-9.91,0.0
2022-06-30,28.5,$-10.38,0.0
2022-03-31,75.8,$-11.32,0.0
2021-12-31,87.3,$-10.81,0.0
2021-09-30,138.6,$-10.19,0.0
2021-06-30,241.8,$-12.09,0.0
2021-03-31,320.3,$-11.92,0.0
2020-12-31,246.4,$-16.50,0.0
2020-09-30,143.2,$-21.96,0.0
2020-06-30,161.6,$-27.51,0.0
2020-03-31,144.2,$-31.92,0.0
2019-12-31,210.9,$-39.54,0.0
2019-09-30,229.3,$-33.73,0.0
2019-06-30,403.1,$-32.66,0.0
2019-03-31,433.7,$-33.25,0.0
