NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,202.64,,25.38
2024-12-31,207.85,$7.99,26.03
2024-09-30,238.89,$10.65,22.44
2024-06-30,266.64,$11.35,23.5
2024-03-31,244.61,$11.24,21.76
2023-12-31,225.8,$10.28,21.96
2023-09-30,195.64,$9.82,19.93
2023-06-30,199.29,$10.06,19.82
2023-03-31,180.63,$10.01,18.04
2022-12-31,152.21,$10.71,14.21
2022-09-30,141.38,$9.21,15.34
2022-06-30,141.13,$8.68,16.27
2022-03-31,175.58,$8.37,20.98
2021-12-31,215.02,$8.26,26.02
2021-09-30,184.43,$9.75,18.91
2021-06-30,193.19,$8.67,22.28
2021-03-31,188.56,$8.11,23.24
2020-12-31,148.46,$7.38,20.12
2020-09-30,116.25,$6.51,17.86
2020-06-30,105.91,$7.11,14.9
2020-03-31,76.74,$7.33,10.47
2019-12-31,117.31,$6.54,17.94
2019-09-30,100.28,$5.82,17.23
2019-06-30,89.4,$11.29,7.92
2019-03-31,80.74,$10.63,7.6
2018-12-31,66.76,$11.44,5.84
2018-09-30,77.65,$11.59,6.7
2018-06-30,98.96,$5.27,18.79
2018-03-31,105.96,$5.47,19.36
2017-12-31,106.05,$5.49,19.33
2017-09-30,102.42,$5.44,18.84
2017-06-30,99.13,$5.84,16.99
2017-03-31,93.74,$5.90,15.88
2016-12-31,88.77,$5.51,16.11
2016-09-30,92.39,$4.41,20.93
2016-06-30,70.95,$3.74,18.97
2016-03-31,73.42,$3.70,19.84
2015-12-31,76.3,$3.98,19.16
2015-09-30,78.86,$5.16,15.28
2015-06-30,88.94,$5.36,16.61
2015-03-31,90.89,$4.96,18.33
2014-12-31,69.19,$4.60,15.05
2014-09-30,61.98,$3.77,16.42
2014-06-30,59.94,$3.42,17.54
2014-03-31,53.26,$3.23,16.5
2013-12-31,41.6,$2.67,15.56
2013-09-30,33.7,$2.21,15.22
2013-06-30,28.09,$1.64,17.09
2013-03-31,27.43,$1.99,13.76
2012-12-31,23.84,$1.91,12.5
2012-09-30,22.65,$1.10,20.57
2012-06-30,21.04,$1.07,19.66
2012-03-31,24.1,$0.33,73.59
2011-12-31,13.92,$-0.12,0.0
2011-09-30,12.79,$0.54,23.71
2011-06-30,24.21,$0.44,54.83
