Humacyte Price to Free Cash Flow Ratio Historical Data,Humacyte Price to Free Cash Flow Ratio Historical Data,Humacyte Price to Free Cash Flow Ratio Historical Data,Humacyte Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.18,,0.0
2024-09-30,5.44,$-0.80,0.0
2024-06-30,4.8,$-0.73,0.0
2024-03-31,3.11,$-0.80,0.0
2023-12-31,2.84,$-0.73,0.0
2023-09-30,2.93,$-0.74,0.0
2023-06-30,2.86,$-0.77,0.0
2023-03-31,3.09,$-0.71,0.0
2022-12-31,2.11,$-0.70,0.0
2022-09-30,3.26,$-1.18,0.0
2022-06-30,3.21,$2.56,1.26
2022-03-31,7.06,$0.26,27.05
2021-12-31,7.25,$-2.04,0.0
2021-09-30,11.61,$-1.36,0.0
