NexPoint Real Estate Finance Price to Free Cash Flow Ratio Historical Data,NexPoint Real Estate Finance Price to Free Cash Flow Ratio Historical Data,NexPoint Real Estate Finance Price to Free Cash Flow Ratio Historical Data,NexPoint Real Estate Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.74,,11.34
2024-09-30,15.18,$1.39,10.93
2024-06-30,12.92,$1.18,10.91
2024-03-31,13.04,$1.85,7.05
2023-12-31,13.78,$1.80,7.64
2023-09-30,13.72,$3.09,4.43
2023-06-30,12.54,$3.19,3.93
2023-03-31,12.06,$3.42,3.53
2022-12-31,11.74,$4.47,2.62
2022-09-30,10.76,$3.21,3.35
2022-06-30,14.21,$3.51,4.05
2022-03-31,15.45,$3.66,4.22
2021-12-31,12.86,$2.42,5.31
2021-09-30,12.72,$-0.23,0.0
2021-06-30,13.34,$0.68,19.63
2021-03-31,11.6,$1.25,9.26
2020-12-31,10.06,$1.76,5.7
