Prelude Therapeutics Price to Free Cash Flow Ratio Historical Data,Prelude Therapeutics Price to Free Cash Flow Ratio Historical Data,Prelude Therapeutics Price to Free Cash Flow Ratio Historical Data,Prelude Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,0.0
2024-12-31,1.28,$-1.37,0.0
2024-09-30,2.07,$-1.65,0.0
2024-06-30,3.81,$-1.50,0.0
2024-03-31,4.74,$-1.61,0.0
2023-12-31,4.27,$-1.83,0.0
2023-09-30,3.09,$-1.76,0.0
2023-06-30,4.5,$-2.00,0.0
2023-03-31,5.7,$-1.99,0.0
2022-12-31,6.04,$-1.83,0.0
2022-09-30,6.61,$-1.91,0.0
2022-06-30,5.22,$-1.94,0.0
2022-03-31,6.9,$-1.97,0.0
2021-12-31,12.45,$-1.86,0.0
2021-09-30,31.25,$4.86,6.43
2021-06-30,28.63,$-4.56,0.0
